"Antecedent","Consequent","support","confidence","coverage","lift","count","conviction","cosine"
"{} "," {Adj=1}",0.0608899297423888,0.0608899297423888,1,1,182,1,0.0608899297423888
"{} "," {Loc=1}",0.0812980930076949,0.0812980930076949,1,1,243,1,0.0812980930076949
"{} "," {Pro=1}",0.0953496152559384,0.0953496152559384,1,1,285,1,0.0953496152559384
"{} "," {NMF_Head=0}",0.126798260287722,0.126798260287722,1,1,379,1,0.126798260287722
"{} "," {NMF_CA=1}",0.348946135831382,0.348946135831382,1,1,1043,1,0.348946135831382
"{} "," {ï..NMF_Body=0}",0.370023419203747,0.370023419203747,1,1,1106,1,0.370023419203747
"{} "," {NMF_EyeAp=0}",0.407159585145534,0.407159585145534,1,1,1217,1,0.407159585145534
"{} "," {NMF_Eyebrows=0}",0.475744396119103,0.475744396119103,1,1,1422,1,0.475744396119103
"{} "," {NMF_Eyebrows=1}",0.524255603880897,0.524255603880897,1,1,1567,1,0.524255603880897
"{} "," {NMF_EyeAp=1}",0.592840414854466,0.592840414854466,1,1,1772,1,0.592840414854466
"{} "," {ï..NMF_Body=1}",0.629976580796253,0.629976580796253,1,1,1883,1,0.629976580796253
"{} "," {NMF_CA=0}",0.651053864168618,0.651053864168618,1,1,1946,1,0.651053864168618
"{} "," {NMF_Head=1}",0.873201739712278,0.873201739712278,1,1,2610,1,0.873201739712278
"{} "," {Pro=0}",0.904650384744062,0.904650384744062,1,1,2704,1,0.904650384744062
"{} "," {Loc=0}",0.918701906992305,0.918701906992305,1,1,2746,1,0.918701906992305
"{} "," {Adj=0}",0.939110070257611,0.939110070257611,1,1,2807,1,0.939110070257611
"{} "," {Prep=0}",0.962529274004684,0.962529274004684,1,1,2877,1,0.962529274004684
"{} "," {NMF_Eyegaze=1}",0.968885915021746,0.968885915021746,1,1,2896,1,0.968885915021746
"{} "," {Gesture=0}",0.969220475075276,0.969220475075276,1,1,2897,1,0.969220475075276
"{} "," {NMF_Cheeks=0}",0.972900635664102,0.972900635664102,1,1,2908,1,0.972900635664102
"{} "," {Adv=0}",0.980260956841753,0.980260956841753,1,1,2930,1,0.980260956841753
"{} "," {fs=0}",0.981264637002342,0.981264637002342,1,1,2933,1,0.981264637002342
"{} "," {DM=0}",0.982268317162931,0.982268317162931,1,1,2936,1,0.982268317162931
"{} "," {Conj=0}",0.98327199732352,0.98327199732352,1,1,2939,1,0.98327199732352
"{} "," {Num=0}",0.985279357644697,0.985279357644697,1,1,2945,1,0.985279357644697
"{} "," {Frag=0}",0.986952157912345,0.986952157912345,1,1,2950,1,0.986952157912345
"{} "," {Interact=0}",0.988624958179993,0.988624958179993,1,1,2955,1,0.988624958179993
"{} "," {SName=0}",0.989963198394112,0.989963198394112,1,1,2959,1,0.989963198394112
"{} "," {Neg=0}",0.995650719304115,0.995650719304115,1,1,2976,1,0.995650719304115
"{} "," {Aux=0}",0.997658079625293,0.997658079625293,1,1,2982,1,0.997658079625293
"{} "," {Unsure=0}",0.997658079625293,0.997658079625293,1,1,2982,1,0.997658079625293
"{} "," {Salutation=0}",0.997658079625293,0.997658079625293,1,1,2982,1,0.997658079625293
"{} "," {Buoy=0}",0.998996319839411,0.998996319839411,1,1,2986,1,0.998996319839411
"{} "," {Det=0}",0.999330879892941,0.999330879892941,1,1,2987,1,0.999330879892941
"{Gesture=1} "," {Pro=0}",0.030779524924724,1,0.030779524924724,1.10539940828402,92,NA,0.0340236686390533
"{Gesture=1} "," {Loc=0}",0.030779524924724,1,0.030779524924724,1.08849235251275,92,NA,0.0335032774945375
"{Gesture=1} "," {Adj=0}",0.030779524924724,1,0.030779524924724,1.06483790523691,92,NA,0.0327752048450303
"{Gesture=1} "," {Prep=0}",0.030779524924724,1,0.030779524924724,1.03892944038929,92,NA,0.0319777546054918
"{Gesture=1} "," {Adv=0}",0.030779524924724,1,0.030779524924724,1.02013651877133,92,NA,0.0313993174061433
"{Gesture=1} "," {fs=0}",0.030779524924724,1,0.030779524924724,1.01909307875895,92,NA,0.0313672008182748
"{Gesture=1} "," {DM=0}",0.030779524924724,1,0.030779524924724,1.01805177111717,92,NA,0.0313351498637602
"{Gesture=1} "," {Conj=0}",0.030779524924724,1,0.030779524924724,1.01701258931609,92,NA,0.0313031643416128
"{Gesture=1} "," {Num=0}",0.030779524924724,1,0.030779524924724,1.01494057724958,92,NA,0.0312393887945671
"{Gesture=1} "," {Frag=0}",0.030779524924724,1,0.030779524924724,1.01322033898305,92,NA,0.0311864406779661
"{Gesture=1} "," {Interact=0}",0.030779524924724,1,0.030779524924724,1.01150592216582,92,NA,0.0311336717428088
"{Gesture=1} "," {SName=0}",0.030779524924724,1,0.030779524924724,1.01013856032443,92,NA,0.0310915849949307
"{Gesture=1} "," {Neg=0}",0.030779524924724,1,0.030779524924724,1.00436827956989,92,NA,0.0309139784946237
"{Gesture=1} "," {Aux=0}",0.030779524924724,1,0.030779524924724,1.00234741784038,92,NA,0.0308517773306506
"{Gesture=1} "," {Unsure=0}",0.030779524924724,1,0.030779524924724,1.00234741784038,92,NA,0.0308517773306506
"{Gesture=1} "," {Salutation=0}",0.030779524924724,1,0.030779524924724,1.00234741784038,92,NA,0.0308517773306506
"{Gesture=1} "," {Buoy=0}",0.030779524924724,1,0.030779524924724,1.00100468854655,92,NA,0.0308104487608841
"{Gesture=1} "," {Det=0}",0.030779524924724,1,0.030779524924724,1.00066956812856,92,NA,0.0308001339136257
"{NMF_Eyegaze=0} "," {NMF_Cheeks=0}",0.030779524924724,0.989247311827957,0.0311140849782536,1.01680199967461,92,2.52024088323854,0.0316259883121348
