Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine
"{CA.value=null,Head.value=null} ", {Eyegaze.value=+camera},0.03,0.31,0.10,2.58,96,1.28,0.17
"{CA.value=null,Eyegaze.value=+camera} ", {Head.value=null},0.03,0.30,0.11,2.37,96,1.25,0.16
"{Cheeks.value=null,Eyegaze.value=+camera} ", {Head.value=null},0.03,0.28,0.12,2.25,102,1.22,0.16
"{Cheeks.value=null,Head.value=null} ", {Eyegaze.value=+camera},0.03,0.27,0.13,2.23,102,1.20,0.16
{Eyegaze.value=+camera} , {Head.value=null},0.03,0.28,0.12,2.23,102,1.22,0.16
{Head.value=null} , {Eyegaze.value=+camera},0.03,0.27,0.13,2.23,102,1.20,0.16
"{Body_value=LEAN,Head.value=TILT} ", {Eyegaze.value=UpDn},0.03,0.21,0.15,2.16,95,1.14,0.15
"{Eyebrows.value=null,Head.value=TILT} ", {Eyegaze.value=UpDn},0.03,0.20,0.16,2.11,95,1.13,0.14
"{Body_value=LEAN,Eyegaze.value=UpDn} ", {Head.value=TILT},0.03,0.63,0.05,2.04,95,1.85,0.10
"{Eye_Ap.value=null,Head.value=TURN} ", {Eyegaze.value=side},0.05,0.39,0.13,1.98,150,1.31,0.18
"{Eyebrows.value=null,Eyegaze.value=UpDn} ", {Head.value=TILT},0.03,0.59,0.05,1.93,95,1.69,0.10
"{CA.value=null,Eyegaze.value=UpDn} ", {Head.value=TILT},0.04,0.59,0.07,1.92,120,1.69,0.12
"{CA.value=null,Head.value=TILT} ", {Eyegaze.value=UpDn},0.04,0.18,0.22,1.92,120,1.11,0.15
"{Body_value=null,CA.value=null} ", {Head.value=null},0.06,0.24,0.27,1.86,191,1.14,0.19
{Eyegaze.value=UpDn} , {Head.value=TILT},0.05,0.57,0.10,1.86,164,1.61,0.16
{Head.value=TILT} , {Eyegaze.value=UpDn},0.05,0.18,0.31,1.86,164,1.10,0.16
"{Body_value=null,Eyebrows.value=null} ", {Head.value=null},0.04,0.24,0.18,1.86,124,1.14,0.16
"{Eyebrows.value=null,Eyegaze.value=side} ", {Head.value=TURN},0.04,0.55,0.07,1.85,117,1.56,0.12
"{Body_value=LEAN,Eyegaze.value=side} ", {Head.value=TURN},0.05,0.54,0.09,1.84,144,1.54,0.14
"{Cheeks.value=null,Head.value=TILT} ", {Eyegaze.value=UpDn},0.05,0.18,0.30,1.83,157,1.10,0.15
"{Cheeks.value=null,Eyegaze.value=UpDn} ", {Head.value=TILT},0.05,0.56,0.09,1.83,157,1.58,0.15
"{CA.value=CA,Head.value=TURN} ", {Eyegaze.value=side},0.04,0.36,0.11,1.83,113,1.25,0.14
"{Body_value=null,CA.value=null} ", {Eyegaze.value=+interlocutor1},0.03,0.13,0.27,1.78,102,1.06,0.11
"{Eyebrows.value=null,Head.value=null} ", {Body_value=null},0.04,0.66,0.06,1.77,124,1.83,0.11
"{Body_value=LEAN,Eyebrows.value=eyebrow movement} ", {Head.value=PUSH},0.03,0.14,0.24,1.76,100,1.07,0.12
"{Eye_Ap.value=null,Eyegaze.value=side} ", {Head.value=TURN},0.05,0.51,0.10,1.74,150,1.45,0.15
"{CA.value=CA,Eyegaze.value=side} ", {Head.value=TURN},0.04,0.51,0.07,1.73,113,1.44,0.11
"{Body_value=LEAN,Head.value=TURN} ", {Eyegaze.value=side},0.05,0.34,0.14,1.73,144,1.22,0.17
"{Eye_Ap.value=null,Head.value=null} ", {Body_value=null},0.03,0.63,0.05,1.69,101,1.69,0.09
"{Body_value=null,Cheeks.value=null} ", {Head.value=null},0.08,0.21,0.37,1.69,234,1.11,0.19
"{Body_value=null,Eyebrows.value=null} ", {Eye_Ap.value=//},0.05,0.26,0.18,1.68,138,1.14,0.16
"{CA.value=null,Head.value=null} ", {Body_value=null},0.06,0.62,0.10,1.67,191,1.66,0.16
"{Body_value=null,Eye_Ap.value=null} ", {Head.value=null},0.03,0.21,0.16,1.67,101,1.11,0.13
"{Cheeks.value=null,Head.value=null} ", {Body_value=null},0.08,0.62,0.13,1.67,234,1.65,0.19
"{CA.value=null,Eyegaze.value=+interlocutor1} ", {Body_value=null},0.03,0.62,0.06,1.67,102,1.65,0.09
{Head.value=null} , {Body_value=null},0.08,0.62,0.13,1.67,234,1.65,0.19
{Body_value=null} , {Head.value=null},0.08,0.21,0.37,1.67,234,1.11,0.19
{Head.value=Headnod} , {Body_value=null},0.03,0.62,0.05,1.66,93,1.64,0.08
{Body_value=null} , {Head.value=Headnod},0.03,0.08,0.37,1.66,93,1.04,0.08
"{CA.value=null,Head.value=TILT} ", {Eyegaze.value=+camera},0.04,0.20,0.22,1.66,130,1.10,0.15
"{Eyebrows.value=eyebrow movement,Head.value=TURN} ", {Eyegaze.value=side},0.05,0.32,0.16,1.66,154,1.19,0.17
"{Cheeks.value=null,Head.value=Headnod} ", {Body_value=null},0.03,0.61,0.05,1.65,90,1.62,0.08
"{Body_value=null,Cheeks.value=null} ", {Head.value=Headnod},0.03,0.08,0.37,1.63,90,1.03,0.08
"{Eyebrows.value=eyebrow movement,Head.value=TILT} ", {Eye_Ap.value=SQ},0.05,0.31,0.15,1.62,137,1.17,0.16
"{CA.value=CA,Eyebrows.value=eyebrow movement} ", {Eye_Ap.value=SQ},0.05,0.30,0.18,1.61,164,1.16,0.17
"{Eye_Ap.value=null,Eyebrows.value=eyebrow movement} ", {Eyegaze.value=side},0.05,0.31,0.17,1.61,164,1.17,0.17
"{CA.value=CA,Eye_Ap.value=SQ} ", {Eyebrows.value=eyebrow movement},0.05,0.84,0.07,1.60,164,2.99,0.10
"{Body_value=LEAN,Eyebrows.value=eyebrow movement} ", {Eye_Ap.value=WD},0.04,0.17,0.24,1.60,121,1.08,0.13
"{Cheeks.value=null,Head.value=TURN} ", {Eyegaze.value=side},0.09,0.31,0.29,1.59,267,1.17,0.23
"{Cheeks.value=null,Eyegaze.value=+interlocutor1} ", {Body_value=null},0.04,0.58,0.07,1.57,120,1.51,0.10
"{Cheeks.value=null,Eyegaze.value=side} ", {Head.value=TURN},0.09,0.46,0.19,1.57,267,1.31,0.22
{Eyegaze.value=side} , {Head.value=TURN},0.09,0.46,0.20,1.57,271,1.31,0.23
{Head.value=TURN} , {Eyegaze.value=side},0.09,0.31,0.29,1.57,271,1.16,0.23
{Body_value=TWIST} , {Head.value=TURN},0.04,0.46,0.09,1.57,123,1.31,0.12
{Head.value=TURN} , {Body_value=TWIST},0.04,0.14,0.29,1.57,123,1.06,0.12
"{Eyebrows.value=eyebrow movement,Head.value=null} ", {Body_value=null},0.04,0.58,0.06,1.56,110,1.50,0.09
"{Body_value=TWIST,Cheeks.value=null} ", {Head.value=TURN},0.04,0.46,0.09,1.56,117,1.30,0.11
"{Cheeks.value=null,Eye_Ap.value=CLOSED} ", {Eyebrows.value=null},0.03,0.74,0.05,1.55,101,2.00,0.07
"{Body_value=null,Cheeks.value=null} ", {Eyegaze.value=+interlocutor1},0.04,0.11,0.37,1.55,120,1.04,0.10
{Eyegaze.value=+interlocutor1} , {Body_value=null},0.04,0.57,0.07,1.54,121,1.47,0.10
{Body_value=null} , {Eyegaze.value=+interlocutor1},0.04,0.11,0.37,1.54,121,1.04,0.10
"{Cheeks.value=null,Eyebrows.value=null} ", {Eye_Ap.value=CLOSED},0.03,0.07,0.46,1.54,101,1.03,0.07
"{Cheeks.value=null,Head.value=TURN} ", {Body_value=TWIST},0.04,0.14,0.29,1.54,117,1.06,0.12
"{Body_value=null,CA.value=null} ", {Eyegaze.value=+camera},0.05,0.19,0.27,1.54,150,1.08,0.15
"{Body_value=LEAN,Eyebrows.value=eyebrow movement} ", {Eye_Ap.value=SQ},0.07,0.29,0.24,1.53,204,1.14,0.19
{Eye_Ap.value=CLOSED} , {Eyebrows.value=null},0.03,0.73,0.05,1.52,103,1.91,0.07
{Eyebrows.value=null} , {Eye_Ap.value=CLOSED},0.03,0.07,0.48,1.52,103,1.03,0.07
"{Body_value=LEAN,Eye_Ap.value=//} ", {Eyebrows.value=null},0.04,0.72,0.06,1.51,132,1.86,0.09
"{CA.value=null,Eyebrows.value=null} ", {Eye_Ap.value=//},0.08,0.24,0.34,1.50,237,1.10,0.19
"{Body_value=null,Eyebrows.value=eyebrow movement} ", {Eyegaze.value=side},0.06,0.29,0.19,1.50,171,1.14,0.17
"{Body_value=null,Eyebrows.value=eyebrow movement} ", {Head.value=null},0.04,0.19,0.19,1.50,110,1.08,0.13
"{CA.value=null,Eyegaze.value=side} ", {Head.value=TURN},0.05,0.44,0.11,1.49,141,1.26,0.13
"{Eyebrows.value=null,Eyegaze.value=side} ", {Eye_Ap.value=null},0.04,0.60,0.07,1.48,129,1.49,0.10
"{Body_value=null,Eye_Ap.value=SQ} ", {Eyebrows.value=eyebrow movement},0.04,0.78,0.06,1.48,128,2.12,0.08
"{CA.value=null,Eyebrows.value=eyebrow movement} ", {Eye_Ap.value=SQ},0.09,0.28,0.31,1.47,261,1.12,0.21
"{Cheeks.value=null,Eyebrows.value=eyebrow movement} ", {Eye_Ap.value=SQ},0.14,0.28,0.51,1.47,424,1.12,0.25
"{Cheeks.value=null,Eye_Ap.value=SQ} ", {Eyebrows.value=eyebrow movement},0.14,0.77,0.18,1.47,424,2.08,0.25
"{Eye_Ap.value=SQ,Head.value=TURN} ", {Eyebrows.value=eyebrow movement},0.04,0.77,0.06,1.47,127,2.07,0.08
"{Eyebrows.value=null,Head.value=TURN} ", {Eyegaze.value=side},0.04,0.29,0.14,1.47,117,1.13,0.13
{Eye_Ap.value=SQ} , {Eyebrows.value=eyebrow movement},0.14,0.76,0.19,1.46,431,2.02,0.25
{Eyebrows.value=eyebrow movement} , {Eye_Ap.value=SQ},0.14,0.28,0.52,1.46,431,1.12,0.25
"{Body_value=null,Eye_Ap.value=null} ", {Eyegaze.value=side},0.05,0.29,0.16,1.46,136,1.13,0.15
"{Eyegaze.value=+camera,Head.value=null} ", {CA.value=null},0.03,0.94,0.03,1.45,96,5.93,0.05
"{Cheeks.value=null,Eyebrows.value=null} ", {Eye_Ap.value=//},0.10,0.22,0.46,1.44,310,1.09,0.20
"{Eye_Ap.value=//,Head.value=TILT} ", {Eyebrows.value=null},0.03,0.68,0.05,1.43,101,1.65,0.07
"{Cheeks.value=null,Eye_Ap.value=//} ", {Eyebrows.value=null},0.10,0.68,0.15,1.43,310,1.63,0.20
"{CA.value=CA,Eyebrows.value=eyebrow movement} ", {Eyegaze.value=side},0.05,0.28,0.18,1.42,151,1.12,0.15
"{CA.value=null,Eye_Ap.value=//} ", {Eyebrows.value=null},0.08,0.68,0.12,1.42,237,1.62,0.15
{Eye_Ap.value=//} , {Eyebrows.value=null},0.11,0.68,0.16,1.42,316,1.62,0.20
{Eyebrows.value=null} , {Eye_Ap.value=//},0.11,0.22,0.48,1.42,316,1.08,0.20
"{Body_value=null,Eyegaze.value=+camera} ", {CA.value=null},0.05,0.93,0.05,1.42,150,4.71,0.08
"{Eyebrows.value=eyebrow movement,Head.value=PUSH} ", {Body_value=LEAN},0.03,0.66,0.05,1.42,100,1.58,0.07
"{CA.value=CA,Eye_Ap.value=null} ", {Eyegaze.value=side},0.03,0.28,0.12,1.42,97,1.11,0.12
"{Body_value=LEAN,Eye_Ap.value=SQ} ", {Eyebrows.value=eyebrow movement},0.07,0.74,0.09,1.42,204,1.86,0.12
"{Eyebrows.value=eyebrow movement,Head.value=TURN} ", {Eye_Ap.value=SQ},0.04,0.27,0.16,1.42,127,1.11,0.14
"{Body_value=null,CA.value=null} ", {Eye_Ap.value=//},0.06,0.22,0.27,1.42,179,1.08,0.16
"{Eyegaze.value=+camera,Head.value=TILT} ", {CA.value=null},0.04,0.92,0.05,1.42,130,4.47,0.07
"{CA.value=null,Eyebrows.value=eyebrow movement} ", {Eyegaze.value=+camera},0.05,0.17,0.31,1.41,160,1.06,0.14
"{CA.value=null,Eye_Ap.value=WD} ", {Eyebrows.value=eyebrow movement},0.04,0.74,0.06,1.41,128,1.83,0.08
"{Eye_Ap.value=SQ,Head.value=TILT} ", {Eyebrows.value=eyebrow movement},0.05,0.74,0.06,1.40,137,1.81,0.08
"{Eyebrows.value=eyebrow movement,Eyegaze.value=side} ", {Head.value=TURN},0.05,0.41,0.12,1.40,154,1.20,0.14
"{Cheeks.value=null,Eye_Ap.value=WD} ", {CA.value=CA},0.05,0.44,0.10,1.40,135,1.22,0.12
"{Eye_Ap.value=null,Head.value=TURN} ", {Eyegaze.value=side & UpDn},0.05,0.37,0.13,1.40,144,1.17,0.14
"{CA.value=CA,Cheeks.value=null} ", {Eye_Ap.value=WD},0.05,0.15,0.30,1.40,135,1.05,0.12
