"Antecedent","Consequent","support","confidence","coverage","lift","count","conviction","cosine","jaccard","Fisher","hlift","hconf"
"{Head_PUSH_nmf=1} "," {WHQ_Dom_gc=1}","0.002341920","0.02034884","0.115088658"," 2.252692","   7","  1.011551","0.07263349","0.019230769"," 2.902633e-02","1.0000000","0.9709737"
"{Eyegaze_Inter_nmf=1} "," {WHQ_Dom_gc=1}","0.002007360","0.01470588","0.136500502"," 1.627996","   6","  1.005757","0.05716620","0.013986014"," 1.525262e-01","0.7500000","0.8474738"
"{EyeAp_SQ_nmf=1} "," {WHQ_Dom_gc=1}","0.003345601","0.01290323","0.259284041"," 1.428435","  10","  1.003921","0.06913011","0.012626263"," 1.360702e-01","0.7692308","0.8639298"
"{Eyebrows_Furrowed_nmf=1} "," {WHQ_Dom_gc=1}","0.005687521","0.02002356","0.284041485"," 2.216682","  17","  1.011215","0.11228279","0.019790454"," 1.804168e-04","1.3076923","0.9998196"
"{head_forward_nmf=1} "," {WHQ_Dom_gc=1}","0.003680161","0.01274623","0.288725326"," 1.411055","  11","  1.003761","0.07206185","0.012514221"," 1.256841e-01","0.8461538","0.8743159"
"{Eyegaze_sl_nmf=1} "," {WHQ_Dom_gc=1}","0.004014721","0.01119403","0.358648377"," 1.239221","  12","  1.002185","0.07053456","0.011039558"," 2.296191e-01","0.7500000","0.7703809"
"{Eyegaze_dn_nmf=1} "," {WHQ_Dom_gc=1}","0.004349281","0.01144366","0.380060221"," 1.266856","  13","  1.002438","0.07422878","0.011304348"," 1.855509e-01","0.8125000","0.8144491"
"{Eyegaze_nd_nmf=1} "," {CA_gc=1}","0.006022081","0.48648649","0.012378722"," 1.394159","  18","  1.267842","0.09162827","0.016949153"," 5.782222e-02","0.9000000","0.9421778"
"{Eyegaze_nd_nmf=1} "," {Verb_Dom_gc=1}","0.006356641","0.51351351","0.012378722"," 1.463195","  19","  1.334151","0.09644173","0.017806935"," 3.004322e-02","0.9500000","0.9699568"
"{Eyegaze_dh_nmf=1} "," {Noun_Dom_gc=1}","0.007360321","0.39285714","0.018735363"," 1.446121","  22","  1.199614","0.10316934","0.026004728"," 3.141000e-02","0.9565217","0.9685900"
"{Eyegaze_dh_nmf=1} "," {CA_gc=0}","0.015724323","0.83928571","0.018735363"," 1.289119","  47","  2.171220","0.14237457","0.024040921"," 1.385082e-03","1.0681818","0.9986149"
"{Cheeks_nmf=1} "," {CA_gc=1}","0.011375042","0.41975309","0.027099364"," 1.202917","  34","  1.122029","0.11697532","0.031192661"," 1.089069e-01","0.8947368","0.8910931"
"{Cheeks_nmf=1} "," {Verb_Dom_gc=1}","0.016393443","0.60493827","0.027099364"," 1.723699","  49","  1.642899","0.16809927","0.045328400"," 2.041656e-06","1.2894737","0.9999980"
"{Eyegaze_hands_nmf=1} "," {Noun_Dom_gc=1}","0.012713282","0.42222222","0.030110405"," 1.554215","  38","  1.260584","0.14056731","0.043981481"," 1.242797e-03","1.1176471","0.9987572"
"{Body_Twist_nmf=1} "," {CA_gc=1}","0.046503847","0.42901235","0.108397457"," 1.229451"," 139","  1.140224","0.23911132","0.113192182"," 9.531551e-04","1.0530303","0.9990468"
"{Body_Twist_nmf=1} "," {Verb_Dom_gc=1}","0.047842088","0.44135802","0.108397457"," 1.257597"," 143","  1.161829","0.24528771","0.116260163"," 2.292112e-04","1.0751880","0.9997708"
"{Eyegaze_up_nmf=1} "," {Verb_Dom_gc=1}","0.051187688","0.45671642","0.112077618"," 1.301359"," 153","  1.194674","0.25809601","0.124289196"," 1.451034e-05","1.1167883","0.9999855"
"{Head_PUSH_nmf=1} "," {CA_gc=1}","0.064570090","0.56104651","0.115088658"," 1.607831"," 193","  1.483196","0.32220771","0.161641541"," 9.275224e-18","1.3785714","1.0000000"
"{Head_PUSH_nmf=1} "," {Verb_Dom_gc=1}","0.058213449","0.50581395","0.115088658"," 1.441256"," 174","  1.313365","0.28965584","0.142739951"," 2.616707e-10","1.2428571","1.0000000"
"{EyeAp_WD_nmf=1} "," {CA_gc=1}","0.060220810","0.45340050","0.132820341"," 1.299342"," 180","  1.191099","0.27972746","0.142857143"," 2.495969e-06","1.1320755","0.9999975"
"{Body_forward_nmf=1} "," {CA_gc=1}","0.082636333","0.45996276","0.179658749"," 1.318148"," 247","  1.205572","0.33004082","0.185296324"," 2.848122e-09","1.1706161","1.0000000"
"{Body_forward_nmf=1} "," {Verb_Dom_gc=1}","0.078287053","0.43575419","0.179658749"," 1.241629"," 234","  1.150290","0.31177477","0.173076923"," 4.369367e-06","1.1037736","0.9999956"
"{Eyegaze_camera_nmf=1} "," {Noun_Dom_gc=1}","0.072264972","0.36548223","0.197724992"," 1.345353"," 216","  1.147859","0.31180423","0.181971356"," 1.412095e-08","1.1803279","1.0000000"
"{Eyegaze_camera_nmf=1} "," {CA_gc=0}","0.155570425","0.78680203","0.197724992"," 1.208505"," 465","  1.636724","0.43359852","0.224420849"," 1.182649e-15","1.1369193","1.0000000"
