Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine,jaccard,Fisher,hlift,hconf
{NMF_CA=1} , {Gesture_gc=1},0.020073603,0.05752637,0.348946136,1.868982,60,1.028379,0.19369356,0.055813953,1.74185E-09,1.3953488,1
"{NMF_CA=1,NMF_Eyegaze=1} ", {Gesture_gc=1},0.019404483,0.05703048,0.340247574,1.852871,58,1.027839,0.1896154,0.055185538,7.41026E-09,1.3809524,1
"{NMF_EyeAp=1,NMF_Head=1} ", {Gesture_gc=1},0.019404483,0.03732304,0.519906323,1.212593,58,1.006797,0.15339407,0.036523929,0.019725439,0.9830508,0.9802746
"{NMF_CA=1,NMF_Head=1} ", {Gesture_gc=1},0.018400803,0.05658436,0.325192372,1.838377,55,1.027353,0.18392283,0.054509415,4.45312E-08,1.375,1
"{NMF_CA=1,NMF_Eyegaze=1,NMF_Head=1} ", {Gesture_gc=1},0.017731683,0.05578947,0.317832051,1.812551,53,1.026488,0.17927517,0.053589484,1.8709E-07,1.325,0.9999998
"{NMF_CA=1,NMF_EyeAp=1} ", {Gesture_gc=1},0.012713282,0.06138934,0.207092673,1.994486,38,1.032612,0.15923714,0.056463596,4.09416E-06,1.3571429,0.9999959
"{NMF_CA=1,NMF_Eyebrows=1} ", {Gesture_gc=1},0.012378722,0.05882353,0.210438274,1.911125,37,1.029797,0.15380926,0.054093567,1.6977E-05,1.2758621,0.999983
"{NMF_CA=1,NMF_EyeAp=1,NMF_Head=1} ", {Gesture_gc=1},0.012044162,0.06217617,0.193710271,2.02005,36,1.033478,0.15598014,0.056692913,6.41062E-06,1.3333333,0.9999936
"{NMF_CA=1,NMF_EyeAp=1,NMF_Eyegaze=1} ", {Gesture_gc=1},0.012044162,0.06010017,0.200401472,1.952602,36,1.031195,0.15335402,0.054961832,1.44312E-05,1.2857143,0.9999856
"{NMF_CA=1,NMF_Eyebrows=1,NMF_Eyegaze=1} ", {Gesture_gc=1},0.011709602,0.05672609,0.206423553,1.842981,35,1.027507,0.1469033,0.051928783,7.44096E-05,1.25,0.9999256
"{NMF_CA=1,NMF_Eyebrows=1,NMF_Head=1} ", {Gesture_gc=1},0.011375042,0.05831904,0.195048511,1.894735,34,1.029245,0.14680834,0.053042122,5.57285E-05,1.2592593,0.9999443
"{NMF_Body=1,NMF_CA=1} ", {Gesture_gc=1},0.011040482,0.0442953,0.24924724,1.439116,33,1.014142,0.12604972,0.041044776,0.011506594,1,0.9884934
"{NMF_Body=1,NMF_CA=1,NMF_Head=1} ", {Gesture_gc=1},0.010705922,0.0446304,0.239879558,1.450003,32,1.014498,0.12459382,0.041184041,0.011718283,1,0.9882817
"{NMF_Body=1,NMF_CA=1,NMF_Eyegaze=1} ", {Gesture_gc=1},0.010371362,0.04252401,0.243894279,1.381568,31,1.012266,0.11970272,0.039240506,0.026192986,0.96875,0.973807
"{NMF_Body=1,NMF_CA=1,NMF_EyeAp=1} ", {Gesture_gc=1},0.008698561,0.0552017,0.157577785,1.793455,26,1.025849,0.12490188,0.048417132,0.001417353,1.1304348,0.9985826
{NMF_EyeAp=1} , {Interact_gc=1},0.008364001,0.01410835,0.592840415,1.24029,25,1.002772,0.1018518,0.014037058,0.061149167,0.9259259,0.9388508
"{NMF_EyeAp=1,NMF_Eyegaze=1} ", {Interact_gc=1},0.008364001,0.0146886,0.569421211,1.291301,25,1.003363,0.10392518,0.014611338,0.034438948,0.9615385,0.9655611
{NMF_Eyebrows=1} , {SName_gc=1},0.007360321,0.01403957,0.524255604,1.398809,22,1.00406,0.10146764,0.013968254,0.015643733,1,0.9843563
"{NMF_Eyebrows=1,NMF_Eyegaze=1} ", {SName_gc=1},0.007360321,0.01436031,0.512546002,1.430766,22,1.004387,0.10262016,0.014285714,0.011272333,1,0.9887277
"{NMF_EyeAp=1,NMF_Eyegaze=1,NMF_Head=1} ", {Interact_gc=1},0.007025761,0.01401869,0.50117096,1.232408,21,1.002681,0.09305162,0.013898081,0.116077705,0.875,0.8839223
"{NMF_Body=1,NMF_CA=1,NMF_Eyebrows=1} ", {Gesture_gc=1},0.007025761,0.0495283,0.141853463,1.609131,21,1.019726,0.10632673,0.042424242,0.015709438,1,0.9842906
{NMF_CA=1} , {Interact_gc=1},0.006691201,0.01917546,0.348946136,1.685748,20,1.007953,0.10620584,0.018921476,0.003532693,1.1111111,0.9964673
"{NMF_CA=1,NMF_Eyegaze=1} ", {Interact_gc=1},0.006691201,0.01966568,0.340247574,1.728845,20,1.008457,0.10755487,0.019398642,0.002511904,1.1111111,0.9974881
"{NMF_CA=1,NMF_EyeAp=1,NMF_Eyebrows=1} ", {Gesture_gc=1},0.006691201,0.04938272,0.135496822,1.604402,20,1.01957,0.10361165,0.041928721,0.01907035,1,0.9809297
"{NMF_Eyebrows=1,NMF_Head=1} ", {SName_gc=1},0.006356641,0.01379811,0.460689194,1.374752,19,1.003814,0.09348157,0.013688761,0.042495771,0.95,0.9575042
"{NMF_CA=1,NMF_Head=1} ", {Interact_gc=1},0.006356641,0.01954733,0.325192372,1.71844,19,1.008335,0.10451557,0.019250253,0.003968138,1.0555556,0.9960319
"{NMF_Body=1,NMF_EyeAp=1} ", {Interact_gc=1},0.006356641,0.01663748,0.382067581,1.46263,19,1.005351,0.0964231,0.01642178,0.02670279,0.95,0.9732972
"{NMF_Eyebrows=1,NMF_Eyegaze=1,NMF_Head=1} ", {SName_gc=1},0.006356641,0.01409496,0.450986952,1.404327,19,1.004116,0.09448177,0.013980868,0.033574555,0.95,0.9664254
"{NMF_CA=1,NMF_Eyegaze=1,NMF_Head=1} ", {Interact_gc=1},0.006356641,0.02,0.317832051,1.758235,19,1.008801,0.10571883,0.019689119,0.002963877,1.1176471,0.9970361
"{NMF_Body=1,NMF_EyeAp=1,NMF_Eyegaze=1} ", {Interact_gc=1},0.006356641,0.0171635,0.370357979,1.508874,19,1.00589,0.09793554,0.016934046,0.018888709,1,0.9811113
"{NMF_EyeAp=1,NMF_Eyebrows=1} ", {Interact_gc=1},0.005352961,0.01529637,0.349949816,1.344731,16,1.003982,0.08484274,0.015037594,0.097959704,0.8888889,0.9020403
"{NMF_EyeAp=1,NMF_Eyebrows=1,NMF_Eyegaze=1} ", {Interact_gc=1},0.005352961,0.01570167,0.340916695,1.380361,16,1.004396,0.08595941,0.015429122,0.079589085,0.8888889,0.9204109
"{NMF_Body=1,NMF_EyeAp=1,NMF_Head=1} ", {Interact_gc=1},0.005352961,0.01513718,0.353629977,1.330736,16,1.00382,0.08440011,0.014883721,0.106220946,0.8421053,0.8937791
"{NMF_CA=1,NMF_EyeAp=1} ", {Interact_gc=1},0.005018401,0.02423263,0.207092673,2.130334,15,1.013177,0.10339665,0.023510972,0.001669357,1.1538462,0.9983306
"{NMF_CA=1,NMF_EyeAp=1,NMF_Eyegaze=1} ", {Interact_gc=1},0.005018401,0.02504174,0.200401472,2.201463,15,1.014018,0.10510863,0.024271845,0.001171445,1.1538462,0.9988286
"{NMF_EyeAp=1,NMF_Eyebrows=1,NMF_Head=1} ", {Interact_gc=1},0.005018401,0.01639344,0.306122449,1.441176,15,1.005102,0.08504353,0.016059957,0.065876017,0.8823529,0.934124
"{NMF_Body=1,NMF_CA=1} ", {Interact_gc=1},0.004683841,0.01879195,0.24924724,1.652033,14,1.007559,0.08796511,0.018300654,0.026700066,0.9333333,0.9732999
"{NMF_Body=1,NMF_Eyebrows=1} ", {Interact_gc=1},0.004683841,0.0141844,0.330210773,1.246975,14,1.00285,0.07642404,0.013902681,0.200581244,0.7777778,0.7994188
"{NMF_CA=1,NMF_EyeAp=1,NMF_Head=1} ", {Interact_gc=1},0.004683841,0.02417962,0.193710271,2.125673,14,1.013122,0.09978133,0.023372287,0.002679253,1.1666667,0.9973207
"{NMF_Body=1,NMF_CA=1,NMF_Eyegaze=1} ", {Interact_gc=1},0.004683841,0.01920439,0.243894279,1.688292,14,1.007983,0.08892519,0.018691589,0.022256602,1,0.9777434
"{NMF_Body=1,NMF_Eyebrows=1,NMF_Eyegaze=1} ", {Interact_gc=1},0.004683841,0.01435897,0.326196052,1.262323,14,1.003027,0.07689291,0.014070352,0.186493088,0.7777778,0.8135069
"{NMF_Body=1,NMF_Eyebrows=1} ", {SName_gc=1},0.004349281,0.01317123,0.330210773,1.312293,13,1.003176,0.0755482,0.012948207,0.155706805,0.8125,0.8442932
"{NMF_Body=1,NMF_Eyebrows=1,NMF_Eyegaze=1} ", {SName_gc=1},0.004349281,0.01333333,0.326196052,1.328444,13,1.003341,0.0760117,0.013104839,0.144415865,0.8125,0.8555841
"{NMF_Body=1,NMF_CA=1,NMF_Head=1} ", {Interact_gc=1},0.004349281,0.0181311,0.239879558,1.593937,13,1.006881,0.08326152,0.017615176,0.044442041,0.9285714,0.955558
"{NMF_Body=1,NMF_Eyebrows=1,NMF_Head=1} ", {Interact_gc=1},0.004349281,0.01433297,0.303445969,1.260036,13,1.003001,0.07402872,0.014008621,0.204203951,0.7647059,0.795796
"{NMF_Body=1,NMF_EyeAp=1,NMF_Eyebrows=1} ", {Interact_gc=1},0.004014721,0.01741655,0.230511877,1.531119,12,1.006149,0.07840291,0.016877637,0.071325576,0.8571429,0.9286744
"{NMF_CA=1,NMF_Eyebrows=1} ", {Interact_gc=1},0.003680161,0.01748808,0.210438274,1.537408,11,1.006222,0.07521906,0.016871166,0.082938562,0.8461538,0.9170614
"{NMF_Body=1,NMF_Eyebrows=1,NMF_Head=1} ", {SName_gc=1},0.003680161,0.01212789,0.303445969,1.208343,11,1.002117,0.06668504,0.01187905,0.282877796,0.7333333,0.7171222
"{NMF_CA=1,NMF_Eyebrows=1,NMF_Head=1} ", {Interact_gc=1},0.003680161,0.01886792,0.195048511,1.658713,11,1.007637,0.0781302,0.018151815,0.052077185,0.9166667,0.9479228
"{NMF_CA=1,NMF_Eyebrows=1,NMF_Eyegaze=1} ", {Interact_gc=1},0.003680161,0.0178282,0.206423553,1.567309,11,1.00657,0.075947,0.0171875,0.073932777,0.8461538,0.9260672
"{NMF_Body=1,NMF_CA=1,NMF_EyeAp=1} ", {Interact_gc=1},0.003680161,0.02335456,0.157577785,2.053141,11,1.012266,0.08692461,0.022267206,0.012021673,1,0.9879783
"{NMF_Body=1,NMF_EyeAp=1,NMF_Eyebrows=1} ", {Frag_gc=1},0.003680161,0.01596517,0.230511877,1.223587,11,1.002965,0.06710436,0.015341702,0.274343758,0.7333333,0.7256562
"{NMF_CA=1,NMF_Eyebrows=1} ", {SName_gc=1},0.003345601,0.01589825,0.210438274,1.583996,10,1.005956,0.0727971,0.01540832,0.080526891,0.8333333,0.9194731
