Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine,jaccard,Fisher,hlift,hconf
{NMF_Head_latral=0} , {NMF_Head_TURN=0},50.70%,100%,0.506858481,1.641406,1515,       NA,0.91211867,0.831960461,0,1.5880503,1
{NMF_Head_TURN=0} , {NMF_Head_latral=0},50.70%,83%,0.609233857,1.641406,1515,2.934676,0.91211867,0.831960461,0,1.5880503,1
{NMF_Head_TURN=1} , {NMF_Head_latral=1},39.10%,100%,0.390766143,2.027815,1168,       NA,0.89016944,0.792401628,0,1.9242175,1
{NMF_Head_latral=1} , {NMF_Head_TURN=1},39.10%,79%,0.493141519,2.027815,1168,2.934676,0.89016944,0.792401628,0,1.9242175,1
{NMF_Body_LEAN=0} , {NMF_Body_forward=0},50.90%,100%,0.508865841,1.219005,1521,       NA,0.78759758,0.620309951,0,1.1957547,1
{NMF_Body_forward=0} , {NMF_Body_LEAN=0},50.90%,62%,0.820341251,1.219005,1521,1.293513,0.78759758,0.620309951,0,1.1957547,1
{NMF_Body_forward=1} , {NMF_Body_LEAN=1},18.00%,100%,0.179658749,2.036104,537,       NA,0.60481717,0.365803815,0,1.8645833,1
{NMF_Body_LEAN=1} , {NMF_Body_forward=1},18.00%,37%,0.491134159,2.036104,537,1.293513,0.60481717,0.365803815,0,1.8645833,1
{NMF_Body_Twist=1} , {NMF_Body_latral=1},10.80%,100%,0.108397457,2.675918,324,       NA,0.53857466,0.290062668,0,2.3142857,1
{NMF_Body_latral=1} , {NMF_Body_Twist=1},10.80%,29%,0.37370358,2.675918,324,1.255889,0.53857466,0.290062668,0,2.3142857,1
{NMF_Head_TILT=0} , {NMF_Head_forward=0},52.90%,87%,0.606891937,1.225342,1581,2.247844,0.80506621,0.670199237,0,1.1995448,1
{NMF_Head_TILT=1} , {NMF_Head_forward=1},21.10%,54%,0.393108063,1.857025,630,1.533482,0.62562806,0.447443182,0,1.7166213,1
{NMF_Head_forward=0} , {NMF_Head_TILT=0},52.90%,74%,0.711274674,1.225342,1581,1.533482,0.80506621,0.670199237,0,1.1995448,1
{NMF_Head_forward=1} , {NMF_Head_TILT=1},21.10%,73%,0.288725326,1.857025,630,2.247844,0.62562806,0.447443182,0,1.7166213,1
{NMF_Body_latral=0} , {NMF_Body_LEAN=0},41.80%,67%,0.62629642,1.311153,1249,1.475767,0.74019289,0.58255597,0,1.2706002,1
{NMF_Body_latral=1} , {NMF_Body_LEAN=1},28.30%,76%,0.37370358,1.540293,845,2.089717,0.65988323,0.485632184,0,1.4594128,1
{NMF_Body_LEAN=0} , {NMF_Body_latral=0},41.80%,82%,0.508865841,1.311153,1249,2.089717,0.74019289,0.58255597,0,1.2706002,1
{NMF_Body_LEAN=1} , {NMF_Body_latral=1},28.30%,58%,0.491134159,1.540293,845,1.475767,0.65988323,0.485632184,0,1.4594128,1
{NMF_Head_PUSH=1} , {NMF_Head_forward=1},9.40%,82%,0.115088658,2.829196,281,3.883786,0.51572918,0.303455724,0,2.3813559,1
{NMF_Head_forward=1} , {NMF_Head_PUSH=1},9.40%,33%,0.288725326,2.829196,281,1.312162,0.51572918,0.303455724,0,2.3813559,1
{NMF_Head_TILT=1} , {NMF_Head_TURN=0},33.10%,84%,0.393108063,1.380178,988,2.455349,0.67543419,0.492031873,0,1.3243968,1
{NMF_Head_TILT=0} , {NMF_Head_TURN=1},32.80%,54%,0.606891937,1.383932,981,1.326711,0.67395197,0.490254873,0,1.3274696,1
{NMF_Head_TURN=0} , {NMF_Head_TILT=1},33.10%,54%,0.609233857,1.380178,988,1.326711,0.67543419,0.492031873,0,1.3243968,1
{NMF_Head_TURN=1} , {NMF_Head_TILT=0},32.80%,84%,0.390766143,1.383932,981,2.455349,0.67395197,0.490254873,0,1.3274696,1
{NMF_Head_forward=0} , {NMF_Head_latral=1},43.20%,61%,0.711274674,1.231378,1291,1.290516,0.72928263,0.559116501,0,1.1987001,1
{NMF_Head_forward=1} , {NMF_Head_latral=0},22.80%,79%,0.288725326,1.554574,680,2.32558,0.59469899,0.400471143,0,1.4592275,1
{NMF_Head_latral=0} , {NMF_Head_forward=1},22.80%,45%,0.506858481,1.554574,680,1.290516,0.59469899,0.400471143,0,1.4592275,1
{NMF_Head_latral=1} , {NMF_Head_forward=0},43.20%,88%,0.493141519,1.231378,1291,2.32558,0.72928263,0.559116501,0,1.1987001,1
{NMF_Eyebrows_Furrowed=1} , {NMF_Eyebrows_Raised=0},27.50%,97%,0.284041485,1.289636,822,7.837441,0.59553398,0.361955086,0,1.2416918,1
{NMF_Eyebrows_Furrowed=0} , {NMF_Eyebrows_Raised=1},24.00%,34%,0.715958515,1.346109,718,1.129825,0.56864264,0.331333641,0,1.2867384,1
{NMF_Eyebrows_Raised=0} , {NMF_Eyebrows_Furrowed=1},27.50%,37%,0.75075276,1.289636,822,1.129825,0.59553398,0.361955086,0,1.2416918,1
{NMF_Eyebrows_Raised=1} , {NMF_Eyebrows_Furrowed=0},24.00%,96%,0.24924724,1.346109,718,7.837441,0.56864264,0.331333641,0,1.2867384,1
{NMF_Head_back=1} , {NMF_Head_TILT=1},10.00%,82%,0.121445299,2.088323,298,3.389258,0.45629322,0.240322581,0,1.8282209,1
{NMF_Head_TILT=1} , {NMF_Head_back=1},10.00%,25%,0.393108063,2.088323,298,1.177083,0.45629322,0.240322581,0,1.8282209,1
{NMF_Body_back=1} , {NMF_Body_LEAN=1},6.70%,100%,0.067246571,2.036104,201,       NA,0.37002835,0.136920981,0,1.7478261,1
{NMF_Body_LEAN=1} , {NMF_Body_back=1},6.70%,14%,0.491134159,2.036104,201,1.080728,0.37002835,0.136920981,0,1.7478261,1
