"Antecedent","Consequent","support","confidence","coverage","lift","count","conviction","cosine","jaccard","Fisher","hlift","hconf"
"{Cheeks_pres=1} "," {CA_pres=1}","0.011375042","0.41975309","0.027099364","1.202917"," 34","1.122029","0.11697532","0.031192661","0.108906907651936030179129488715262","0.8947368","0.8910931"
"{CA_pres=1} "," {Cheeks_pres=1}","0.011375042","0.03259827","0.348946136","1.202917"," 34","1.005684","0.11697532","0.031192661","0.108906907651936071812492912158632","0.8947368","0.8910931"
"{Cheeks_pres=1} "," {Body_pres=1}","0.022080964","0.81481481","0.027099364","1.293405"," 66","1.998126","0.16899594","0.034773446","0.000206273371445697749175518520559","1.0819672","0.9997937"
"{Body_pres=1} "," {Cheeks_pres=1}","0.022080964","0.03505045","0.629976581","1.293405"," 66","1.008240","0.16899594","0.034773446","0.000206273371445697966015953017660","1.0819672","0.9997937"
"{Eyegaze_pres=0} "," {Head_pres=0}","0.007025761","0.22580645","0.031114085","1.780832"," 21","1.127886","0.11185572","0.046563193","0.005019959181753859411845297699983","1.0500000","0.9949800"
"{Head_pres=0} "," {Eyegaze_pres=0}","0.007025761","0.05540897","0.126798260","1.780832"," 21","1.025720","0.11185572","0.046563193","0.005019959181753859411845297699983","1.0500000","0.9949800"
"{Eyegaze_pres=0} "," {Body_pres=0}","0.017731683","0.56989247","0.031114085","1.540152"," 53","1.464696","0.16525585","0.046247818","0.000054526645017658702781562785056","1.1777778","0.9999455"
"{Body_pres=0} "," {Eyegaze_pres=0}","0.017731683","0.04792043","0.370023419","1.540152"," 53","1.017652","0.16525585","0.046247818","0.000054526645017658587587250362816","1.1777778","0.9999455"
"{Eyegaze_pres=0} "," {Eyebrows_pres=0}","0.019404483","0.62365591","0.031114085","1.310905"," 58","1.393022","0.15949120","0.039807824","0.002543702692704546183127822800429","1.0545455","0.9974563"
"{Eyebrows_pres=0} "," {Eyegaze_pres=0}","0.019404483","0.04078762","0.475744396","1.310905"," 58","1.010085","0.15949120","0.039807824","0.002543702692704547050489560788833","1.0545455","0.9974563"
"{Eyegaze_pres=0} "," {EyeAp_pres=1}","0.023419204","0.75268817","0.031114085","1.269630"," 70","1.646341","0.17243472","0.038997214","0.000782277559410223606757572856196","1.0606061","0.9992177"
"{EyeAp_pres=1} "," {Eyegaze_pres=0}","0.023419204","0.03950339","0.592840415","1.269630"," 70","1.008734","0.17243472","0.038997214","0.000782277559410226208842786821407","1.0606061","0.9992177"
"{Head_pres=0} "," {Body_pres=0}","0.078287053","0.61741425","0.126798260","1.668582","234","1.646628","0.36142542","0.187050360","0.000000000000000000000000104105817","1.4534161","1.0000000"
"{Body_pres=0} "," {Head_pres=0}","0.078287053","0.21157324","0.370023419","1.668582","234","1.107524","0.36142542","0.187050360","0.000000000000000000000000104105817","1.4534161","1.0000000"
"{Head_pres=0} "," {CA_pres=0}","0.103044496","0.81266491","0.126798260","1.248230","308","1.862684","0.35864080","0.152702033","0.000000000000129759851855361250700","1.1535581","1.0000000"
"{CA_pres=0} "," {Head_pres=0}","0.103044496","0.15827338","0.651053864","1.248230","308","1.037394","0.35864080","0.152702033","0.000000000000129759851855361124488","1.1535581","1.0000000"
"{EyeAp_pres=0} "," {Eyebrows_pres=0}","0.232853797","0.57189811","0.407159585","1.202112","696","1.224605","0.52907124","0.358208955","0.000000000000000001680818799345010","1.1409836","1.0000000"
