Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine,jaccard,Fisher,hlift,hconf
"{NMF_Eyebrows=1,NMF_Eyegaze=0,NMF_Head=0} ", {NMF_EyeAp=0},0.00100368,0.5,0.00200736,1.22802,3,1.185681,0.03510754,0.002459016,0.47,0.6,0.5294641
"{NMF_CA=1,NMF_Head=0,Non_Lex=1} ", {NMF_EyeAp=0},0.00100368,0.5,0.00200736,1.22802,3,1.185681,0.03510754,0.002459016,0.47,0.6,0.5294641
"{NMF_Cheeks=1,NMF_EyeAp=0,Fully_Lex=1} ", {NMF_CA=1},0.00100368,0.42857143,0.00234192,1.228188,3,1.139344,0.03510994,0.00286533,0.47,0.6,0.5346676
"{NMF_EyeAp=0,NMF_Eyegaze=0,NMF_Head=0} ", {NMF_CA=1},0.00100368,0.42857143,0.00234192,1.228188,3,1.139344,0.03510994,0.00286533,0.47,0.6,0.5346676
"{NMF_Eyebrows=0,NMF_Head=0,Non_Lex=1} ", {NMF_CA=1},0.00100368,0.42857143,0.00234192,1.228188,3,1.139344,0.03510994,0.00286533,0.47,0.6,0.5346676
"{NMF_Eyebrows=1,NMF_Head=0,Non_Lex=1} ", {NMF_CA=1},0.00100368,0.42857143,0.00234192,1.228188,3,1.139344,0.03510994,0.00286533,0.47,0.6,0.5346676
"{NMF_Cheeks=1,NMF_Eyebrows=1,Non_Lex=1} ", {NMF_EyeAp=1},0.00100368,0.75,0.00133824,1.265096,3,1.628638,0.03563358,0.001692047,0.46,0.75,0.5371974
"{NMF_Body=1,NMF_Cheeks=1,Non_Lex=1} ", {NMF_EyeAp=1},0.00100368,0.75,0.00133824,1.265096,3,1.628638,0.03563358,0.001692047,0.46,0.75,0.5371974
"{NMF_EyeAp=0,NMF_Eyebrows=1,NMF_Head=0} ", {Non_Lex=1},0.00100368,0.05084746,0.019739043,1.206215,3,1.009159,0.03479445,0.016483516,0.46,0.4285714,0.5432646
"{NMF_Body=0,NMF_Cheeks=1,Fully_Lex=0} ", {NMF_Eyebrows=0},0.00100368,0.6,0.0016728,1.261181,3,1.310639,0.0355784,0.002106742,0.45,0.6,0.5454383
"{NMF_EyeAp=0,NMF_Eyegaze=0,NMF_Head=0} ", {NMF_Eyebrows=0},0.00133824,0.57142857,0.00234192,1.201125,4,1.223263,0.04009232,0.002807018,0.45,0.6666667,0.5529874
"{NMF_CA=1,NMF_Eyegaze=0,Fully_Lex=0} ", {NMF_Head=0},0.00100368,0.15789474,0.006356641,1.245244,3,1.036927,0.03535288,0.007594937,0.44,0.5,0.5599361
"{NMF_Body=1,NMF_Eyegaze=0,Partly_Lex=0} ", {NMF_Head=0},0.00100368,0.15789474,0.006356641,1.245244,3,1.036927,0.03535288,0.007594937,0.44,0.5,0.5599361
"{NMF_Body=0,NMF_Cheeks=1,Fully_Lex=0} ", {NMF_CA=0},0.00133824,0.8,0.0016728,1.228777,4,1.744731,0.04055119,0.002054443,0.43,0.8,0.5696848
"{NMF_Body=1,NMF_EyeAp=0,NMF_Eyegaze=0} ", {NMF_CA=0},0.00133824,0.8,0.0016728,1.228777,4,1.744731,0.04055119,0.002054443,0.43,0.8,0.5696848
"{NMF_Cheeks=0,NMF_Head=1,Non_Lex=1} ", {NMF_Eyegaze=0},0.00133824,0.03738318,0.035797926,1.201487,4,1.006513,0.04009836,0.020408163,0.43,0.5,0.5715499
"{NMF_CA=1,NMF_Eyegaze=0} ", {NMF_Head=0},0.00133824,0.15384615,0.008698561,1.213314,4,1.031966,0.04029524,0.009975062,0.42,0.5,0.5765949
"{NMF_Body=0,NMF_Eyebrows=0,Non_Lex=1} ", {NMF_Head=0},0.00133824,0.15384615,0.008698561,1.213314,4,1.031966,0.04029524,0.009975062,0.42,0.5,0.5765949
"{NMF_Body=0,NMF_Eyebrows=1,Non_Lex=1} ", {NMF_Head=0},0.00133824,0.15384615,0.008698561,1.213314,4,1.031966,0.04029524,0.009975062,0.42,0.5,0.5765949
"{NMF_Body=1,NMF_EyeAp=0,NMF_Eyegaze=0} ", {Partly_Lex=1},0.00100368,0.6,0.0016728,1.318676,3,1.362496,0.03638034,0.002202643,0.42,0.6,0.583973
"{NMF_EyeAp=0,NMF_Eyegaze=0,NMF_Head=0} ", {Fully_Lex=1},0.00133824,0.57142857,0.00234192,1.252199,4,1.26854,0.04093585,0.002926116,0.41,0.6666667,0.5948754
"{NMF_Eyebrows=1,NMF_Eyegaze=0,Partly_Lex=0} ", {NMF_Head=0},0.00100368,0.16666667,0.006022081,1.314424,3,1.047842,0.03632164,0.007614213,0.40,0.5,0.5956888
"{NMF_Body=1,NMF_Eyegaze=0,NMF_Head=0} ", {Partly_Lex=1},0.00133824,0.57142857,0.00234192,1.255882,4,1.271663,0.040996,0.002934703,0.40,0.6666667,0.597737
"{NMF_CA=1,NMF_Cheeks=0,NMF_Eyegaze=0} ", {NMF_Head=0},0.00133824,0.16,0.008364001,1.261847,4,1.039526,0.04109324,0.01,0.39,0.5714286,0.6068374
"{NMF_CA=0,NMF_Eyebrows=0,Non_Lex=1} ", {NMF_Head=0},0.00133824,0.16,0.008364001,1.261847,4,1.039526,0.04109324,0.01,0.39,0.5714286,0.6068374
"{NMF_EyeAp=0,NMF_Eyebrows=0,NMF_Head=0} ", {NMF_Eyegaze=0},0.00133824,0.03921569,0.034125125,1.260384,4,1.008432,0.04106941,0.020942408,0.39,0.5,0.6072488
"{NMF_Cheeks=1,Non_Lex=1} ", {NMF_Body=1},0.00133824,0.8,0.0016728,1.269888,4,1.850117,0.04122397,0.002123142,0.39,0.8,0.6095186
"{NMF_CA=1,NMF_Cheeks=1,Non_Lex=1} ", {NMF_Body=1},0.00133824,0.8,0.0016728,1.269888,4,1.850117,0.04122397,0.002123142,0.39,0.8,0.6095186
"{NMF_Cheeks=1,Fully_Lex=0,Non_Lex=1} ", {NMF_Body=1},0.00133824,0.8,0.0016728,1.269888,4,1.850117,0.04122397,0.002123142,0.39,0.8,0.6095186
"{NMF_Cheeks=1,Partly_Lex=0,Non_Lex=1} ", {NMF_Body=1},0.00133824,0.8,0.0016728,1.269888,4,1.850117,0.04122397,0.002123142,0.39,0.8,0.6095186
"{NMF_Cheeks=1,NMF_Head=1,Non_Lex=1} ", {NMF_Body=1},0.00133824,0.8,0.0016728,1.269888,4,1.850117,0.04122397,0.002123142,0.39,0.8,0.6095186
"{NMF_Cheeks=1,NMF_Eyegaze=1,Non_Lex=1} ", {NMF_Body=1},0.00133824,0.8,0.0016728,1.269888,4,1.850117,0.04122397,0.002123142,0.39,0.8,0.6095186
"{NMF_Cheeks=1,Partly_Lex=0,Fully_Lex=0} ", {NMF_Eyebrows=1},0.00133824,0.66666667,0.00200736,1.271644,4,1.427233,0.04125246,0.002549395,0.39,0.6666667,0.6098656
"{NMF_Body=0,NMF_Cheeks=1,NMF_EyeAp=1} ", {NMF_CA=1},0.00133824,0.44444444,0.00301104,1.273676,4,1.171897,0.04128541,0.003816794,0.39,0.5714286,0.6116231
