Body_value,CA-value,Cheeks-value,Eye_Ap-value,Eyebrows-value,Eyegaze-value,Head-value
LEAN,null,null,null,eyebrow movement,+camera,TILT
LEAN,null,null,null,eyebrow movement,+camera,TILT
LEAN,null,null,null,eyebrow movement,+camera,null
LEAN,null,null,null,eyebrow movement,+camera,TURN
LEAN,CA,null,SQ,eyebrow movement,UpDn,PUSH
LEAN,CA,null,SQ,eyebrow movement,+camera,Headshake
LEAN,CA,null,null,null,+camera,Headshake
LEAN,null,null,null,null,+camera,Headshake
LEAN,CA,null,// > SQ,null,+camera,Headshake
LEAN,null,null,SQ,null,+camera,TILT
LEAN,null,null,null,eyebrow movement,side & UpDn,TILT
LEAN,CA,null,WD,eyebrow movement,side & UpDn > +camera > UpDn,TILT
SHOULDERS,null,null,SQ,eyebrow movement,UpDn,TILT
SHOULDERS,null,null,SQ,eyebrow movement,+camera,TURN
SHOULDERS,null,null,SQ,eyebrow movement,+camera,TURN
SHOULDERS,null,null,null,null,+camera,TILT
null,null,null,null,null,+camera,TILT
LEAN,CA,null,SQ,null,+camera,TILT
LEAN,CA,null,SQ,null,UpDn > +camera,TILT
LEAN,CA,null,CLOSED,null,+camera,TURN
LEAN,CA,null,CLOSED,null,+camera,TURN
TWIST,CA,null,CLOSED,null,side,TILT
LEAN,CA,null,CLOSED,null,+camera,TILT
LEAN,null,null,WD,eyebrow movement,+camera,TILT
SHOULDERS,CA,null,WD,eyebrow movement,+camera > side > +camera > side,TILT > PUSH
SHOULDERS,CA,null,WD,eyebrow movement,side > +camera,TURN
SHOULDERS,CA,null,WD,eyebrow movement,+camera,TURN
TWIST,CA,null,WD,eyebrow movement,UpDn,TURN
TWIST,null,null,CLOSED,eyebrow movement,+camera,TURN
null,CA,null,CLOSED,null,null,TILT
LEAN,CA,null,CLOSED,eyebrow movement,null,TILT
LEAN,CA,null,CLOSED,eyebrow movement,null,TILT
LEAN,CA,null,CLOSED > WD,eyebrow movement,null,TILT
LEAN,CA,null,WD,eyebrow movement,side,TURN
LEAN,CA,null,WD,eyebrow movement,UpDn,TILT
LEAN,null,null,WD,eyebrow movement,+camera,TILT
null,null,null,null,eyebrow movement,+camera,TILT
TWIST,null,null,null,eyebrow movement,+camera,null
TWIST,null,null,null,eyebrow movement,+camera,TILT
TWIST,null,null,null,eyebrow movement,+camera,TILT
TWIST,null,null,WD,eyebrow movement,+camera,null
null,null,null,//,eyebrow movement,+camera,null
LEAN,null,null,WD,eyebrow movement,UpDn,TILT
LEAN,CA,null,WD,eyebrow movement,side & UpDn,TURN
