"Antecedent","Consequent","support","confidence","coverage","lift","count","conviction","cosine"
"{} "," {VI=1}",0.0766142522582804,0.0766142522582804,1,1,229,1,0.0766142522582804
"{} "," {VP=1}",0.0819672131147541,0.0819672131147541,1,1,245,1,0.0819672131147541
"{} "," {Head_pres=0}",0.126798260287722,0.126798260287722,1,1,379,1,0.126798260287722
"{} "," {VD=1}",0.191702910672466,0.191702910672466,1,1,573,1,0.191702910672466
"{} "," {CA_pres=1}",0.348946135831382,0.348946135831382,1,1,1043,1,0.348946135831382
"{} "," {ï..Body_pres=0}",0.370023419203747,0.370023419203747,1,1,1106,1,0.370023419203747
"{} "," {EyeAp_pres=0}",0.407159585145534,0.407159585145534,1,1,1217,1,0.407159585145534
"{} "," {Eyebrows_pres=0}",0.475744396119103,0.475744396119103,1,1,1422,1,0.475744396119103
"{} "," {Eyebrows_pres=1}",0.524255603880897,0.524255603880897,1,1,1567,1,0.524255603880897
"{} "," {EyeAp_pres=1}",0.592840414854466,0.592840414854466,1,1,1772,1,0.592840414854466
"{} "," {ï..Body_pres=1}",0.629976580796253,0.629976580796253,1,1,1883,1,0.629976580796253
"{} "," {CA_pres=0}",0.651053864168618,0.651053864168618,1,1,1946,1,0.651053864168618
"{} "," {VD=0}",0.808297089327534,0.808297089327534,1,1,2416,1,0.808297089327534
"{} "," {Head_pres=1}",0.873201739712278,0.873201739712278,1,1,2610,1,0.873201739712278
"{} "," {VP=0}",0.918032786885246,0.918032786885246,1,1,2744,1,0.918032786885246
"{} "," {VI=0}",0.92338574774172,0.92338574774172,1,1,2760,1,0.92338574774172
"{} "," {VIDir=0}",0.955503512880562,0.955503512880562,1,1,2856,1,0.955503512880562
"{} "," {Viloc=0}",0.967882234861158,0.967882234861158,1,1,2893,1,0.967882234861158
"{} "," {Eyegaze_pres=1}",0.968885915021746,0.968885915021746,1,1,2896,1,0.968885915021746
"{} "," {Cheeks_pres=0}",0.972900635664102,0.972900635664102,1,1,2908,1,0.972900635664102
"{} "," {V.fs=0}",0.999330879892941,0.999330879892941,1,1,2987,1,0.999330879892941
"{Eyegaze_pres=0} "," {Viloc=0}",0.030779524924724,0.989247311827957,0.0311140849782536,1.02207404599162,92,2.98695215791235,0.0317899101589496
"{Eyegaze_pres=0} "," {Cheeks_pres=0}",0.030779524924724,0.989247311827957,0.0311140849782536,1.01680199967461,92,2.52024088323854,0.0316259883121348
"{Eyegaze_pres=0} "," {V.fs=0}",0.0311140849782536,1,0.0311140849782536,1.00066956812856,93,NA,0.0311349179779043
"{Viloc=1} "," {VI=1}",0.0321177651388424,1,0.0321177651388424,13.0524017467249,96,NA,0.419213973799127
"{VI=1} "," {Viloc=1}",0.0321177651388424,0.419213973799127,0.0766142522582804,13.0524017467249,96,1.66650399836996,0.419213973799127
"{Viloc=1} "," {VD=0}",0.0321177651388424,1,0.0321177651388424,1.23716887417219,96,NA,0.0397350993377483
