"Antecedent","Consequent","support","confidence","coverage","lift","count","conviction","cosine"
"{} "," {Head_pres=0}",0.126798260287722,0.126798260287722,1,1,379,1,0.126798260287722
"{} "," {NP=1}",0.186015389762462,0.186015389762462,1,1,556,1,0.186015389762462
"{} "," {CA_pres=1}",0.348946135831382,0.348946135831382,1,1,1043,1,0.348946135831382
"{} "," {ï..Body_pres=0}",0.370023419203747,0.370023419203747,1,1,1106,1,0.370023419203747
"{} "," {EyeAp_pres=0}",0.407159585145534,0.407159585145534,1,1,1217,1,0.407159585145534
"{} "," {Eyebrows_pres=0}",0.475744396119103,0.475744396119103,1,1,1422,1,0.475744396119103
"{} "," {Eyebrows_pres=1}",0.524255603880897,0.524255603880897,1,1,1567,1,0.524255603880897
"{} "," {EyeAp_pres=1}",0.592840414854466,0.592840414854466,1,1,1772,1,0.592840414854466
"{} "," {ï..Body_pres=1}",0.629976580796253,0.629976580796253,1,1,1883,1,0.629976580796253
"{} "," {CA_pres=0}",0.651053864168618,0.651053864168618,1,1,1946,1,0.651053864168618
"{} "," {NP=0}",0.813984610237538,0.813984610237538,1,1,2433,1,0.813984610237538
"{} "," {Head_pres=1}",0.873201739712278,0.873201739712278,1,1,2610,1,0.873201739712278
"{} "," {ND=0}",0.957845433255269,0.957845433255269,1,1,2863,1,0.957845433255269
"{} "," {Eyegaze_pres=1}",0.968885915021746,0.968885915021746,1,1,2896,1,0.968885915021746
"{} "," {Cheeks_pres=0}",0.972900635664102,0.972900635664102,1,1,2908,1,0.972900635664102
"{} "," {N.fs=0}",0.98293743726999,0.98293743726999,1,1,2938,1,0.98293743726999
"{} "," {Nloc=0}",0.983941117430579,0.983941117430579,1,1,2941,1,0.983941117430579
"{Eyegaze_pres=0} "," {ND=0}",0.0304449648711944,0.978494623655914,0.0311140849782536,1.02155795672635,91,1.96018735362998,0.0317626527050611
