Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine
"{Cheeks=null,Head_Movement=TURN+sr} ", {Eyegaze=+sr},0.042809365,0.280087527,0.152842809,3.824026058,128,1.2873174,0.233576642
{Eyegaze=+sr} , {Head_Movement=TURN+sr},0.042809365,0.584474886,0.073244147,3.76633601,128,2.033128744,0.230630631
"{Cheeks=null,Eyegaze=+sr} ", {Head_Movement=TURN+sr},0.042809365,0.584474886,0.073244147,3.76633601,128,2.033128744,0.230630631
{Head_Movement=TURN+sr} , {Eyegaze=+sr},0.042809365,0.275862069,0.155183946,3.76633601,128,1.279805702,0.230630631
{Eyegaze=+dn} , {Head_Movement=TILT+forward},0.03277592,0.384313725,0.085284281,2.710136885,98,1.393881942,0.168674699
{Head_Movement=TILT+forward} , {Eyegaze=+dn},0.03277592,0.231132075,0.14180602,2.710136885,98,1.18969161,0.168674699
"{Cheeks=null,Head_Movement=TURN+sl} ", {Eyegaze=+sl},0.033779264,0.298816568,0.113043478,2.667049369,101,1.266373143,0.176573427
"{Cheeks=null,Eyegaze=+dn} ", {Head_Movement=TILT+forward},0.030769231,0.372469636,0.082608696,2.626613704,92,1.367573633,0.158894646
"{Cheeks=null,Head_Movement=TILT+forward} ", {Eyegaze=+dn},0.030769231,0.223844282,0.137458194,2.624683937,92,1.178520879,0.160278746
{Eyegaze=+sl} , {Head_Movement=TURN+sl},0.034448161,0.307462687,0.112040134,2.596930601,103,1.273007727,0.175767918
{Head_Movement=TURN+sl} , {Eyegaze=+sl},0.034448161,0.290960452,0.118394649,2.596930601,103,1.252341803,0.175767918
"{Cheeks=null,Eyegaze=+sl} ", {Head_Movement=TURN+sl},0.033779264,0.306990881,0.110033445,2.592945581,101,1.272141055,0.173539519
"{CA=null,Head_Movement=null} ", {Eyegaze=+camera},0.032107023,0.311688312,0.103010033,2.581573551,96,1.277421594,0.167539267
"{CA=null,Eye_Aperture=WD} ", {Eyebrows=Raised},0.030769231,0.613333333,0.050167224,2.554131848,92,1.965171261,0.118556701
