Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine,jaccard,Fisher,hlift,hconf
{Eyebrows_Furrowed_nmf=1} , {CA_gc=1},14%,49%,0.284041485,1.390693,412,1.264862,0.43782567,0.278378378,0.00,1.2716049,1
"{Eyebrows_Furrowed_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},3%,77%,0.040481766,2.202618,93,2.813483,0.26178702,0.086834734,0.00,1.7222222,1
"{Eyebrows_Furrowed_nmf=1,Head_PUSH_nmf=1,head_forward_nmf=1} ", {CA_gc=1},3%,79%,0.033121445,2.257881,78,3.069254,0.24273637,0.073308271,0.00,1.6956522,1
"{Head_PUSH_nmf=1,head_forward_nmf=1} ", {CA_gc=1},6%,59%,0.094011375,1.692947,166,1.590836,0.30662868,0.143350604,0.00,1.4310345,1
{Head_PUSH_nmf=1} , {CA_gc=1},6%,56%,0.115088658,1.607831,193,1.483196,0.32220771,0.161641541,0.00,1.3785714,1
"{Body_LEAN_nmf=1,Eyebrows_Furrowed_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},2%,80%,0.027099364,2.299693,65,3.29596,0.22362929,0.061378659,0.00,1.7105263,1
"{Eyebrows_Furrowed_nmf=1,Eyegaze_dn_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},2%,83%,0.023419204,2.374497,58,3.797814,0.21465293,0.054976303,0.00,1.7058824,1
"{Eyegaze_dn_nmf=1,Head_PUSH_nmf=1,head_forward_nmf=1} ", {CA_gc=1},3%,66%,0.052860488,1.886331,104,1.904935,0.25619028,0.094804011,0.00,1.5072464,1
"{Eyebrows_Furrowed_nmf=1,Eyegaze_sl_nmf=1} ", {CA_gc=1},7%,54%,0.120441619,1.552293,195,1.420481,0.31823006,0.161423841,0.00,1.3356164,1
{Eyegaze_camera_nmf=1} , {CA_gc=0},16%,79%,0.197724992,1.208505,465,1.636724,0.43359852,0.224420849,0.00,1.1369193,1
"{Eyegaze_dn_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},4%,63%,0.059217129,1.81337,112,1.77287,0.26066891,0.101083032,0.00,1.4736842,1
"{Eyebrows_Furrowed_nmf=1,Eyegaze_sl_nmf=1,head_forward_nmf=1} ", {CA_gc=1},3%,72%,0.035463366,2.054704,76,2.30039,0.22856962,0.07082945,0.00,1.5833333,1
"{Eyebrows_Furrowed_nmf=1,head_forward_nmf=1} ", {CA_gc=1},5%,58%,0.081967213,1.660978,142,1.548623,0.28090738,0.12390925,0.00,1.3921569,1
"{Body_LEAN_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},5%,59%,0.077617932,1.679935,136,1.57338,0.27647302,0.119402985,0.00,1.4020619,1
"{Body_LEAN_nmf=1,Eyebrows_Furrowed_nmf=1} ", {CA_gc=1},7%,52%,0.130478421,1.499019,204,1.365113,0.31985689,0.165988609,0.00,1.2993631,1
"{Eyebrows_Furrowed_nmf=1,Eyegaze_dn_nmf=1} ", {CA_gc=1},6%,53%,0.115757779,1.523994,184,1.390522,0.30629339,0.152697095,0.00,1.3142857,1
"{Eyegaze_sl_nmf=1,Head_PUSH_nmf=1,head_forward_nmf=1} ", {CA_gc=1},3%,69%,0.036132486,1.990119,75,2.130722,0.22346383,0.069702602,0.00,1.5306122,1
"{Body_LEAN_nmf=1,Head_PUSH_nmf=1,head_forward_nmf=1} ", {CA_gc=1},4%,60%,0.06523921,1.719463,117,1.627635,0.25943371,0.104371097,0.00,1.4096386,1
"{Eyebrows_Furrowed_nmf=1,Eyegaze_dn_nmf=1,head_forward_nmf=1} ", {CA_gc=1},3%,63%,0.051856808,1.811907,98,1.77041,0.2437351,0.089090909,0.00,1.4411765,1
{Eyegaze_sl_nmf=1} , {CA_gc=1},16%,43%,0.358648377,1.245755,466,1.151699,0.44070337,0.282595512,0.00,1.1563275,1
"{Body_forward_nmf=1,Eyebrows_Furrowed_nmf=1,Eyegaze_dn_nmf=1} ", {CA_gc=1},2%,72%,0.029106725,2.075214,63,2.36007,0.2091408,0.059044049,0.00,1.5365854,1
"{Body_forward_nmf=1,Eyebrows_Furrowed_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},1%,84%,0.016728003,2.407248,42,4.069087,0.18391711,0.039961941,0.00,1.68,1
"{Eyegaze_sl_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},3%,65%,0.042154567,1.865026,82,1.864382,0.22619678,0.075436983,0.00,1.4642857,1
"{Body_forward_nmf=1,Eyebrows_Furrowed_nmf=1,head_forward_nmf=1} ", {CA_gc=1},2%,75%,0.024088324,2.149329,54,2.604215,0.19705405,0.050895382,0.00,1.5428571,1
"{Body_LEAN_nmf=1,head_latral_nmf=1} ", {CA_gc=1},12%,45%,0.264302442,1.291411,356,1.185098,0.392188,0.241029113,0.00,1.1788079,1
"{Body_forward_nmf=1,Eyegaze_dn_nmf=1} ", {CA_gc=1},6%,53%,0.105386417,1.510216,166,1.376389,0.28960807,0.139261745,0.00,1.2868217,1
"{Body_LEAN_nmf=1,Body_forward_nmf=1,Eyegaze_dn_nmf=1} ", {CA_gc=1},6%,53%,0.105386417,1.510216,166,1.376389,0.28960807,0.139261745,0.00,1.2868217,1
"{Body_LEAN_nmf=1,Eyegaze_dn_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},3%,62%,0.047842088,1.783592,89,1.724087,0.23045166,0.081130356,0.00,1.4126984,1
"{Body_LEAN_nmf=1,Eyegaze_sr_nmf=1} ", {CA_gc=1},8%,49%,0.153563065,1.40479,225,1.277067,0.32518763,0.176194205,0.00,1.2362637,1
"{Body_LEAN_nmf=1,Eyebrows_Furrowed_nmf=1,Eyegaze_sr_nmf=1} ", {CA_gc=1},3%,64%,0.043158247,1.821653,82,1.786935,0.22355112,0.075229358,0.00,1.4137931,1
"{Eyebrows_Furrowed_nmf=1,head_latral_nmf=1} ", {CA_gc=1},8%,49%,0.158916025,1.39367,231,1.26742,0.32818824,0.179487179,0.00,1.2287234,1
"{Eyebrows_Furrowed_nmf=1,Eyegaze_sl_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},1%,80%,0.018066243,2.282003,43,3.196083,0.181188,0.040796964,0.00,1.5925926,1
"{Eyegaze_camera_nmf=1,Head_TILT_nmf=1} ", {CA_gc=0},7%,83%,0.086985614,1.276038,216,2.061954,0.30366564,0.108542714,0.00,1.1612903,1
"{Body_forward_nmf=1,Eyebrows_Furrowed_nmf=1} ", {CA_gc=1},3%,63%,0.045500167,1.791107,85,1.736144,0.2256874,0.077696527,0.00,1.4166667,1
"{Body_LEAN_nmf=1,Body_forward_nmf=1,Eyebrows_Furrowed_nmf=1} ", {CA_gc=1},3%,63%,0.045500167,1.791107,85,1.736144,0.2256874,0.077696527,0.00,1.4166667,1
"{Body_LEAN_nmf=1,Eyebrows_Furrowed_nmf=1,head_latral_nmf=1} ", {CA_gc=1},4%,56%,0.074272332,1.600701,124,1.474836,0.25769325,0.108676599,0.00,1.3191489,1
"{Body_forward_nmf=1,Eyegaze_sr_nmf=1} ", {CA_gc=1},3%,59%,0.057209769,1.692649,101,1.590432,0.23915594,0.090745732,0.00,1.3648649,1
"{Body_LEAN_nmf=1,Body_forward_nmf=1,Eyegaze_sr_nmf=1} ", {CA_gc=1},3%,59%,0.057209769,1.692649,101,1.590432,0.23915594,0.090745732,0.00,1.3648649,1
"{Body_forward_nmf=1,Eyegaze_sr_nmf=1,head_latral_nmf=1} ", {CA_gc=1},2%,66%,0.034794246,1.901329,69,1.93456,0.20950301,0.064007421,0.00,1.4375,1
"{Eyebrows_Furrowed_nmf=1,Head_TURN_nmf=1} ", {CA_gc=1},6%,50%,0.12579458,1.440508,189,1.309071,0.30180451,0.153658537,0.00,1.2516556,1
"{Eyebrows_Furrowed_nmf=1,Head_TURN_nmf=1,head_latral_nmf=1} ", {CA_gc=1},6%,50%,0.12579458,1.440508,189,1.309071,0.30180451,0.153658537,0.00,1.2516556,1
"{Body_LEAN_nmf=1,Head_TURN_nmf=1} ", {CA_gc=1},10%,46%,0.207092673,1.324088,286,1.210217,0.35594144,0.207848837,0.00,1.186722,1
"{Body_LEAN_nmf=1,Head_TURN_nmf=1,head_latral_nmf=1} ", {CA_gc=1},10%,46%,0.207092673,1.324088,286,1.210217,0.35594144,0.207848837,0.00,1.186722,1
"{Body_forward_nmf=1,Eyegaze_dn_nmf=1,Eyegaze_sr_nmf=1} ", {CA_gc=1},2%,64%,0.038474406,1.844062,74,1.826127,0.21366857,0.068265683,0.00,1.4230769,1
{Eyegaze_sr_nmf=1} , {CA_gc=1},12%,44%,0.274339244,1.261639,361,1.163103,0.39035354,0.240346205,0.00,1.1533546,1
"{Body_LEAN_nmf=1,Eyebrows_Furrowed_nmf=1,head_forward_nmf=1} ", {CA_gc=1},3%,62%,0.042489127,1.782645,79,1.72258,0.21706164,0.072410632,0.00,1.3859649,1
"{Eyebrows_Furrowed_nmf=1,Eyegaze_sr_nmf=1} ", {CA_gc=1},5%,53%,0.087989294,1.525506,140,1.392091,0.26730557,0.120068611,0.00,1.2844037,1
"{EyeAp_WD_nmf=1,Head_PUSH_nmf=1,head_forward_nmf=1} ", {CA_gc=1},1%,76%,0.019404483,2.174034,44,2.697223,0.17889431,0.041627247,0.00,1.5172414,1
"{Eyegaze_dn_nmf=1,Eyegaze_sl_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},2%,71%,0.025092004,2.025145,53,2.219502,0.18949732,0.049765258,0.00,1.4722222,1
{Head_PUSH_nmf=1} , {Verb_Dom_gc=1},6%,51%,0.115088658,1.441256,174,1.313365,0.28965584,0.142739951,0.00,1.2428571,1
"{Body_LEAN_nmf=1,Eyebrows_Furrowed_nmf=1,Eyegaze_dn_nmf=1} ", {CA_gc=1},3%,58%,0.057544329,1.649485,99,1.53399,0.23373773,0.088709677,0.00,1.3378378,1
"{Body_LEAN_nmf=1,Eyebrows_Furrowed_nmf=1,Head_TURN_nmf=1} ", {CA_gc=1},3%,57%,0.06055537,1.630798,103,1.510779,0.23705864,0.091882248,0.00,1.3205128,1
"{Eyegaze_sl_nmf=1,head_latral_nmf=1} ", {CA_gc=1},10%,45%,0.211107394,1.303449,287,1.19423,0.35377331,0.206921413,0.00,1.1714286,1
"{Eyebrows_Furrowed_nmf=1,head_forward_nmf=1,head_latral_nmf=1} ", {CA_gc=1},2%,72%,0.022415524,2.05309,48,2.295822,0.18157735,0.04519774,0.00,1.4545455,1
"{Body_LEAN_nmf=1,Eyegaze_sr_nmf=1,head_latral_nmf=1} ", {CA_gc=1},5%,50%,0.108062897,1.446194,163,1.314315,0.28083045,0.135494597,0.00,1.2348485,1
"{Eyebrows_Furrowed_nmf=1,Head_PUSH_nmf=1,head_latral_nmf=1} ", {CA_gc=1},1%,88%,0.010705922,2.50755,28,5.208431,0.15326426,0.026743075,0.00,1.5555556,1
"{Body_forward_nmf=1,EyeAp_WD_nmf=1} ", {CA_gc=1},2%,63%,0.037470726,1.791107,70,1.736144,0.20480798,0.064516129,0.00,1.372549,1
"{Body_LEAN_nmf=1,Body_forward_nmf=1,EyeAp_WD_nmf=1} ", {CA_gc=1},2%,63%,0.037470726,1.791107,70,1.736144,0.20480798,0.064516129,0.00,1.372549,1
"{Body_forward_nmf=1,EyeAp_WD_nmf=1,Eyegaze_dn_nmf=1} ", {CA_gc=1},2%,72%,0.021411843,2.059773,46,2.314858,0.17804332,0.043355325,0.00,1.483871,1
"{Body_forward_nmf=1,Head_PUSH_nmf=1,head_forward_nmf=1} ", {CA_gc=1},3%,59%,0.046838407,1.698993,83,1.59908,0.21720605,0.075454545,0.00,1.3387097,1
"{Body_forward_nmf=1,Eyegaze_dn_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},2%,63%,0.034794246,1.818663,66,1.781832,0.20039418,0.061054579,0.00,1.375,1
"{Eyegaze_sr_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},2%,65%,0.031448645,1.859703,61,1.854517,0.19481561,0.05669145,0.00,1.3863636,1
"{Body_forward_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},3%,59%,0.049180328,1.676574,86,1.568933,0.21963302,0.077898551,0.00,1.3230769,1
"{Body_LEAN_nmf=1,Body_forward_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},3%,59%,0.049180328,1.676574,86,1.568933,0.21963302,0.077898551,0.00,1.3230769,1
"{Head_PUSH_nmf=1,head_forward_nmf=1} ", {Verb_Dom_gc=1},5%,52%,0.094011375,1.470321,145,1.341045,0.26707122,0.122362869,0.00,1.25,1
"{Body_forward_nmf=1,head_latral_nmf=1} ", {CA_gc=1},4%,54%,0.072599532,1.54514,117,1.412787,0.24593132,0.102362205,0.00,1.2717391,1
"{Body_LEAN_nmf=1,Body_forward_nmf=1,head_latral_nmf=1} ", {CA_gc=1},4%,54%,0.072599532,1.54514,117,1.412787,0.24593132,0.102362205,0.00,1.2717391,1
"{Eyebrows_Furrowed_nmf=1,Eyegaze_dn_nmf=1,Eyegaze_sr_nmf=1} ", {CA_gc=1},2%,61%,0.040816327,1.738255,74,1.654762,0.20744819,0.067827681,0.00,1.3454545,1
{Body_forward_nmf=1} , {CA_gc=1},8%,46%,0.179658749,1.318148,247,1.205572,0.33004082,0.185296324,0.00,1.1706161,1
"{Body_LEAN_nmf=1,Body_forward_nmf=1} ", {CA_gc=1},8%,46%,0.179658749,1.318148,247,1.205572,0.33004082,0.185296324,0.00,1.1706161,1
"{Body_LEAN_nmf=1,Eyegaze_sr_nmf=1,Head_TURN_nmf=1} ", {CA_gc=1},5%,51%,0.096687855,1.457676,147,1.325032,0.26774801,0.124050633,0.00,1.2352941,1
"{Eyegaze_sl_nmf=1,Head_TURN_nmf=1} ", {CA_gc=1},8%,46%,0.172298428,1.324376,238,1.210443,0.32473656,0.18030303,0.00,1.1724138,1
