Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine,jaccard,Fisher,hlift,hconf
"{NMF_CA=1,NMF_EyeAp_CLOSED=1,NMF_Head_latral=1} ", {NMF_Cheeks=1},0.00100368,0.09677419,0.010371362,3.571087,3,1.07714,0.05986843,0.027522936,0.05,1,0.950008
"{NMF_Body_LEAN=1,NMF_Body_back=1,NMF_EyeAp_WD=1} ", {NMF_Cheeks=1},0.00100368,0.09677419,0.010371362,3.571087,3,1.07714,0.05986843,0.027522936,0.05,1,0.950008
"{NMF_Eyebrows_Raised=1,NMF_Eyegaze_Inter=1,NMF_Head_TURN=1} ", {NMF_Cheeks=1},0.00100368,0.09677419,0.010371362,3.571087,3,1.07714,0.05986843,0.027522936,0.05,1,0.950008
"{NMF_Eyebrows_Furrowed=1,NMF_Eyegaze_sl=1,NMF_Head_PUSH=1} ", {NMF_Body_LEAN=1},0.011040482,0.61111111,0.018066243,1.244285,33,1.308512,0.11720713,0.022162525,0.05,0.9428571,0.9500337
"{NMF_Cheeks=1,NMF_Eyegaze_dn=1,NMF_Head_latral=1} ", {NMF_EyeAp_WD=1},0.00200736,0.28571429,0.007025761,2.151134,6,1.214052,0.06571225,0.014563107,0.05,0.8571429,0.9500352
"{NMF_Body_back=1,NMF_CA=1,NMF_Eyegaze_up=1} ", {NMF_EyeAp_WD=1},0.00200736,0.28571429,0.007025761,2.151134,6,1.214052,0.06571225,0.014563107,0.05,0.8571429,0.9500352
"{NMF_Body_Twist=1,NMF_Eyebrows_Raised=1,NMF_Eyegaze_up=1} ", {NMF_EyeAp_WD=1},0.00200736,0.28571429,0.007025761,2.151134,6,1.214052,0.06571225,0.014563107,0.05,0.8571429,0.9500352
"{NMF_Eyegaze_camera=1,NMF_Eyegaze_dn=1,NMF_Head_back=1} ", {NMF_EyeAp_WD=1},0.00200736,0.28571429,0.007025761,2.151134,6,1.214052,0.06571225,0.014563107,0.05,0.8571429,0.9500352
"{NMF_Body_LEAN=1,NMF_Body_forward=1,NMF_Eyebrows_Furrowed=1} ", {NMF_Eyegaze_hands=1},0.00267648,0.05882353,0.045500167,1.953595,8,1.030508,0.07231015,0.036697248,0.05,0.8888889,0.9500396
"{NMF_Eyegaze_sr=1,NMF_Head_TURN=1,NMF_Head_PUSH=1} ", {NMF_Body_LEAN=1},0.006022081,0.66666667,0.009033121,1.357402,18,1.526598,0.09041232,0.012186865,0.05,0.9473684,0.9501075
