Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine,jaccard,Fisher,hlift,hconf
"{Body_pres=0,Cheeks_pres=0} ", {Head_pres=0},7.83%,21.45%,0.365005018,1.691523,234,1.111626,0.36390153,0.189320388,0.00,1.47,1.00
"{Body_pres=0,CA_pres=0,Cheeks_pres=0} ", {Head_pres=0},6.39%,23.93%,0.266978923,1.887631,191,1.147965,0.34730602,0.193711968,0.00,1.59,1.00
"{Cheeks_pres=0,Head_pres=0} ", {Body_pres=0},7.83%,61.90%,0.1264637,1.672996,234,1.653689,0.36190318,0.1872,0.00,1.46,1.00
{Head_pres=0} , {Body_pres=0},7.83%,61.74%,0.12679826,1.668582,234,1.646628,0.36142542,0.18705036,0.00,1.45,1.00
{Body_pres=0} , {Head_pres=0},7.83%,21.16%,0.370023419,1.668582,234,1.107524,0.36142542,0.18705036,0.00,1.45,1.00
"{Body_pres=0,CA_pres=0} ", {Head_pres=0},6.39%,23.64%,0.270324523,1.86427,191,1.143512,0.34515016,0.191767068,0.00,1.58,1.00
"{Cheeks_pres=0,Eyegaze_pres=1,Head_pres=0} ", {Body_pres=0},7.36%,61.62%,0.119437939,1.665426,220,1.641618,0.35011524,0.17699115,0.00,1.45,1.00
"{Eyegaze_pres=1,Head_pres=0} ", {Body_pres=0},7.36%,61.45%,0.119772499,1.660774,220,1.634287,0.34962591,0.176848875,0.00,1.44,1.00
"{Body_pres=0,Cheeks_pres=0,Eyegaze_pres=1} ", {Head_pres=0},7.36%,21.19%,0.347273336,1.671522,220,1.108048,0.35075543,0.183792815,0.00,1.45,1.00
"{CA_pres=0,EyeAp_pres=0} ", {Eyebrows_pres=0},16.59%,62.55%,0.265306122,1.314725,496,1.39978,0.46708432,0.288539849,0.00,1.22,1.00
"{Body_pres=0,CA_pres=0,Eyegaze_pres=1} ", {Head_pres=0},5.99%,23.40%,0.255938441,1.845348,179,1.139931,0.33243191,0.185492228,0.00,1.54,1.00
"{Body_pres=0,Eyegaze_pres=1} ", {Head_pres=0},7.36%,20.89%,0.352291736,1.647711,220,1.103819,0.34824821,0.181518152,0.00,1.43,1.00
"{CA_pres=0,EyeAp_pres=0,Eyegaze_pres=1} ", {Eyebrows_pres=0},16.23%,62.50%,0.259618602,1.313731,485,1.398015,0.46170128,0.283129013,0.00,1.22,1.00
"{CA_pres=0,Cheeks_pres=0,EyeAp_pres=0} ", {Eyebrows_pres=0},16.09%,62.39%,0.257945801,1.311345,481,1.393797,0.45937578,0.280957944,0.00,1.22,1.00
"{Body_pres=0,Eyebrows_pres=0} ", {CA_pres=0},14.49%,82.32%,0.175978588,1.264402,433,1.973609,0.42798013,0.212359,0.00,1.19,1.00
"{CA_pres=0,Cheeks_pres=0,Head_pres=0} ", {Body_pres=0},6.39%,62.21%,0.102709936,1.68138,191,1.667266,0.32778314,0.156301146,0.00,1.45,1.00
