Body_Movement,CA,Cheeks,Eye_Aperture,Eyebrows,Eyegaze,Head_Movement
null,CA:WOMAN,2 x Sucked,SQ,Raised > Furrowed,+sr > +sl,TURN+sr > TILT+forward > TURN+sl
null,null,null,// > SQ+,Raised > Furrowed,+sr > +camera,TILT+sr
TWIST+sr,null,null,SQ,Raised > Furrowed,+sr > +camera,TURN+sr > TILT+forward
LEAN+sr,null,null,SQ+,Raised > Furrowed,+sr,null
SHOULDERS+hunched,null,null,null,Raised > Furrowed,+sl > +sr,TURN+sr > PUSH+forward
TWIST+sl,CA:BOY,null,WD,Raised > Furrowed,+sl & +dn,PUSH+forward
LEAN+sr,null,null,null,Raised > Furrowed,+sl,TURN+sl
null,CD:FRIEND,null,null,Raised > Furrowed,+sl,TURN+sl
null,CA:WOMAN,null,SQ > // > SQ > // > SQ+,Raised > Furrowed,+camera,Headnod > Headnod > TURN+sr
null,CA:WOMAN,null,CLOSED,Raised,null,TILT+sr
null,CA:WOMAN,null,CLOSED,Raised,null,TILT+sr
null,CA:WOMAN,null,CLOSED,Raised,null,Headnod
SHOULDERS+hunched > LEAN+sr,CA:WOMAN,null,CLOSED,Raised,null,TILT+sr > TURN+sr
null,null,null,null,Raised,null,null
null,null,null,null,Raised,null,TURN+sl
null,null,null,null,Raised,null,TURN+sl
null,null,null,SQ,Raised,null,TILT+forward
null,null,null,//,Raised,null,TURN+sr
null,null,null,//,Raised,null,Headnod
null,null,null,CLOSED,Raised,null,Headnod
null,null,null,null,Raised,null,null
SHOULDERS+hunched,null,null,SQ,Raised,null,TILT+forward
null,null,null,CLOSED,Raised,null,null
null,null,null,//,Raised,null,TILT+forward & TILT+sl
null,null,null,//,Raised,null,TILT+forward
LEAN+backward,null,null,null,Raised,+up > +sr,TILT+backward
LEAN+forward,CA:DOG ,null,SQ,Raised,+up > +sr,TILT+backward
LEAN+backward,CA:MAN,null,WD,Raised,+up > +sl,null
LEAN+sl,null,null,SQ,Raised,+up > +interlocutor1 > +up,PUSH+forward > TURN+sr
null,null,2 x Puffed,SQ+,Raised,+up > +interlocutor1,TURN+sr > Headnod
LEAN+forward,null,null,//,Raised,+up > +dn,PUSH+forward
LEAN+sl > TWIST+sr,CA:HELEN,null,SQ+ > //,Raised,+up > +camera,TILT+sr > TILT+sl
LEAN+backward,null,null,SQ+,Raised,+up > +camera,Headshake > TURN+sl
LEAN+backward,null,null,WD,Raised,+up,TILT+sl
null,null,null,//,Raised,+up,TURN+sr
LEAN+sl & TWIST+sr,CA:HELEN,null,SQ+,Raised,+up,PUSH+forward
TWIST+sr,CA:HELEN,null,SQ+,Raised,+up,null
TWIST+sr > LEAN+sr,CA:HELEN,null,SQ+,Raised,+up,TILT+sr > TILT+sl
LEAN+forward,CA:HELEN,null,SQ+,Raised,+up,TILT+sl
TWIST+sr,CA:HELEN,null,SQ+,Raised,+up,TILT+sl
TWIST+sr > LEAN+sl,CA:HELEN,null,SQ+,Raised,+up,TILT+sl > TILT+sr
LEAN+forward,CA:DOG ,null,null,Raised,+up,TILT+backward
TWIST+sr,null,null,null,Raised,+up,TILT+backward
null,null,null,null,Raised,+up,TILT+backward
null,null,null,WD,Raised,+up,TILT+backward
null,null,null,WD,Raised,+up,TILT+backward
null,null,null,WD,Raised,+up,TILT+backward
LEAN+forward,null,null,//,Raised,+up,TILT+forward
LEAN+forward,null,null,WD,Raised,+up,PUSH+backward > PUSH+forward
LEAN+sl,null,null,SQ,Raised,+sr > +up,TURN+sr
TWIST+sr > LEAN+forward,null,null,WD,Raised,+sr > +sr & +up > +camera,TURN+sr > TILT+backward
null,null,null,//,Raised,+sr > +sl & +dn,TURN+sr > TILT+forward
LEAN+sr,CA:WOMAN,null,null,Raised,+sr > +sl & +dn,TURN+sr
LEAN+sr,CA:WOMAN,null,null,Raised,+sr > +sl,TURN+sr
LEAN+sr,CA:WOMAN ,null,WD,Raised,+sr > +sl,TURN+sr
TWIST+sr,CA:FATHER,2 x Puffed,// > // > //,Raised,+sr > +sl,TURN+sr
LEAN+forward,null,null,SQ,Raised,+sr > +interlocutor1 > +camera,null
TWIST+sr,null,null,SQ,Raised,+sr > +interlocutor1,TURN+sr > TILT+forward
null,CA:MAN,null,//,Raised,+sr > +dn > +sr,TURN+sr
LEAN+sl,null,2 x Puffed,WD,Raised,+sr > +dn,TURN+sr > TILT+sr
null,null,null,//,Raised,+sr > +dn,TURN+sl
SHOULDERS+hunched,CA:FROG   ,null,WD,Raised,+sr > +camera,TURN+sr
LEAN+forward,CA:BOY,null,WD,Raised,+sr > +camera,PUSH+forward
LEAN+forward,CA:DOG ,null,WD,Raised,+sr > +camera,TURN+sr
LEAN+forward,null,2 x Puffed,//,Raised,+sr > +camera,TURN+sr > PUSH+forward
LEAN+sl > SHOULDERS+hunched,CA:DOG        ,null,WD > //,Raised,+sr > +camera,TURN+sr
LEAN+backward,null,null,//,Raised,+sr > +camera,TILT+backward
null,CA:WOMAN,null,WD,Raised,+sr > +camera,TURN+sr
LEAN+forward,null,null,SQ > // > SQ+,Raised,+sr > +camera,TURN+sr
null,null,null,// > //,Raised,+sr > +camera,null
null,null,null,null,Raised,+sr > +camera,null
TWIST+sr,null,null,// > SQ,Raised,+sr & +up > +sr,TURN+sr
TWIST+sr,CA:WOMAN,null,WD > //,Raised,+sr & +up > +sl,TILT+forward
LEAN+sl,null,null,WD > //,Raised,+sr & +up > +dn,TILT+sl
LEAN+forward,null,null,WD+,Raised,+sr & +up > +camera,TILT+backward
TWIST+sr,CA:BOY ,null,WD,Raised,+sr & +up,TURN+sr
LEAN+sr,CA:BOY ,null,null,Raised,+sr & +up,TILT+backward & PUSH+forward
LEAN+sl,CA:WOMAN,2 x Puffed,//,Raised,+sr & +up,TILT+sl > TURN+sr
null,CA:WOMAN,null,WD,Raised,+sr & +up,TURN+sr
null,CA:WOMAN,2 x Puffed,WD,Raised,+sr & +up,TURN+sr
null,CA:WOMAN,2 x Puffed,WD > //,Raised,+sr & +up,Headnod
SHOULDERS+hunched & LEAN+sl,CA:FROG,null,WD,Raised,+sr & +up,TURN+sr
TWIST+sr,null,null,//,Raised,+sr & +up,TURN+sr
null,null,null,//,Raised,+sr & +up,null
LEAN+forward,null,null,CLOSED,Raised,+sr & +up,PUSH+backward
LEAN+forward,null,null,null,Raised,+sr & +up,PUSH+backward
null,null,null,SQ,Raised,+sr & +up,TURN+sr
null,null,null,SQ,Raised,+sr & +up,TURN+sr
LEAN+forward,null,null,WD+,Raised,+sr & +up,TILT+backward
TWIST+sl,CA:HELEN,null,//,Raised,+sr & +dn > +sl > +sl & +dn,PUSH+forward
TWIST+sr & TWIST+sl,CA:DOG,null,null,Raised,+sr & +dn > +sl & +dn,Headshake > TURN+sl
LEAN+forward,CA:BOY,null,SQ,Raised,+sr & +dn > +interlocutor1 > +sr & +up,TURN+sr > TILT+backward
LEAN+forward,CA:BOY,null,null,Raised,+sr & +dn > +interlocutor1 > +sr & +dn,TILT+forward > PUSH+forward
LEAN+forward,null,null,null,Raised,+sr & +dn > +interlocutor1,PUSH+forward
LEAN+sr,null,null,//,Raised,+sr & +dn > +dn > +sr & +dn,Headshake
LEAN+forward > LEAN+sr,CA:BOY,null,SQ > //,Raised,+sr & +dn > +dn,TURN+sr > Headnod
TWIST+sl,CA:MAN,null,null,Raised,+sr & +dn > +camera > +sr & +dn > +dn,TILT+forward
LEAN+sr > LEAN+sl,CA:DOG,null,WD,Raised,+sr & +dn > +camera > +dn,TILT+sl
LEAN+backward,CA:BOY,null,WD,Raised,+sr & +dn > +camera,PUSH+backward
null,null,null,//,Raised,+sr & +dn > +camera,TURN+sr
TWIST+sr,CA:WOMAN,null,//,Raised,+sr & +dn > +camera,null
LEAN+sr,null,null,WD+,Raised,+sr & +dn > +camera,TURN+sr
LEAN+sr,null,null,null,Raised,+sr & +dn,TILT+sl
LEAN+forward,CA:BOY ,null,null,Raised,+sr & +dn,PUSH+forward
LEAN+sr,CA:DOG,null,null,Raised,+sr & +dn,TURN+sl & PUSH+forward
LEAN+sl,null,null,null,Raised,+sr & +dn,TURN+sr
LEAN+forward,null,null,null,Raised,+sr & +dn,PUSH+forward
LEAN+sl,CA:WOMAN ,null,null,Raised,+sr & +dn,TURN+sr
LEAN+sl,CA:WOMAN ,null,null,Raised,+sr & +dn,TURN+sr
LEAN+sl,CA:WOMAN ,null,null,Raised,+sr & +dn,TURN+sr
LEAN+sl,CA:WOMAN ,null,null,Raised,+sr & +dn,TURN+sr
LEAN+sl,CA:WOMAN ,null,null,Raised,+sr & +dn,TURN+sr
LEAN+sr,CA:WOMAN,null,null,Raised,+sr & +dn,TURN+sr
null,null,null,null,Raised,+sr & +dn,TILT+forward
null,null,null,// > SQ+,Raised,+sr & +dn,TILT+forward > TILT+backward
null,null,null,SQ > //,Raised,+sr & +dn,TURN+sr > Headnod
TWIST+sr & SHOULDERS+hunched,CA:FATHER,null,WD,Raised,+sr & +dn,TURN+sr
LEAN+forward,null,null,SQ,Raised,+sr & +dn,TILT+forward
null,null,null,SQ,Raised,+sr & +dn,TILT+forward
null,null,null,SQ,Raised,+sr & +dn,TILT+forward
LEAN+forward > TWIST+sr,null,null,null,Raised,+sr & +dn,PUSH+forward
SHOULDERS+hunched,null,null,SQ+,Raised,+sr & +dn,null
TWIST+sr,null,null,null,Raised,+sr & +dn,TILT+backward
LEAN+backward,null,null,null,Raised,+sr & +dn,TILT+backward
LEAN+sl,null,null,SQ > //,Raised,+sr & +dn,TILT+forward & TILT+sl
LEAN+sr,null,null,WD+,Raised,+sr & +dn,TURN+sr
LEAN+forward > LEAN+sl,CA:DEER,null,WD+,Raised,+sr & +dn,TILT+forward > TURN+sr
LEAN+sl,CA:DEER,null,WD+ > SQ,Raised,+sr & +dn,TURN+sr
LEAN+sr,null,null,WD+,Raised,+sr & +dn,TURN+sr
LEAN+sr,null,null,WD+,Raised,+sr & +dn,TURN+sr
LEAN+sr,null,null,WD+,Raised,+sr & +dn,TURN+sr
LEAN+sr,null,null,WD+,Raised,+sr & +dn,TURN+sr
LEAN+sr,null,null,WD+,Raised,+sr & +dn,TURN+sr
LEAN+sr > LEAN+forward,CA:BOY,null,WD+ > //,Raised,+sr & +dn,TURN+sr
LEAN+sr,null,null,SQ > //,Raised,+sr & +dn,TURN+sr & Headnod
LEAN+forward,CA:BOY ,null,WD,Raised,+sr,TURN+sr
TWIST+sr,CA:DOG ,null,WD,Raised,+sr,TURN+sr
LEAN+sl,CD:MAN,null,null,Raised,+sr,TURN+sr
LEAN+sl,CD:MAN,null,null,Raised,+sr,TURN+sr
LEAN+sl,CD:MAN,null,null,Raised,+sr,TURN+sr
LEAN+sl,CD:MAN,null,null,Raised,+sr,TURN+sr
null,null,null,null,Raised,+sr,TURN+sr
null,null,null,null,Raised,+sr,TURN+sr
null,CD:MAN,null,null,Raised,+sr,PUSH+forward
null,CD:MAN,null,WD,Raised,+sr,PUSH+forward
null,CD:MAN,null,WD,Raised,+sr,PUSH+forward
LEAN+sl,null,null,WD > // > WD,Raised,+sr,PUSH+backward
LEAN+sl,null,null,WD,Raised,+sr,PUSH+backward
LEAN+sl,null,null,WD,Raised,+sr,PUSH+backward
LEAN+forward,CD:WOMAN ,null,WD+,Raised,+sr,TURN+sr
LEAN+forward,CD:WOMAN ,null,WD+,Raised,+sr,TURN+sr
LEAN+forward,CA:WOMAN ,null,WD,Raised,+sr,PUSH+forward
null,CA:WOMAN ,null,WD,Raised,+sr,PUSH+forward
null,CA:WOMAN ,null,WD,Raised,+sr,PUSH+forward
null,CA:WOMAN ,null,WD,Raised,+sr,TURN+sr
LEAN+sr,CA:WOMAN,null,CLOSED,Raised,+sr,PUSH+forward
null,CA:WOMAN,null,CLOSED,Raised,+sr,Headnod
LEAN+sr,CA:WOMAN,null,null,Raised,+sr,TURN+sr
LEAN+sr,null,null,SQ,Raised,+sr,TURN+sr
LEAN+sr,CA:WOMAN,null,null,Raised,+sr,TURN+sr
null,null,null,WD,Raised,+sr,TURN+sr
LEAN+sr,null,null,//,Raised,+sr,TURN+sr
null,null,null,null,Raised,+sr,TURN+sr
null,null,null,null,Raised,+sr,TURN+sr
